,season,day,timestamp_feed,description,event_type,parent_description,parent_event_type,type_feed,fragment,timestamp_rng,player_name,type_rng,s0,s1,offset
40,11,95,2021-03-05 17:19:01+00:00,Nandy Slumps is Partying!,117,Nandy Slumps is Partying!,24,party,-1,,,,-1,-1,-1
41,11,95,2021-03-05 17:20:30+00:00,Yosh Carpenter is Partying!,117,Yosh Carpenter is Partying!,24,party,-1,,,,-1,-1,-1
42,11,95,2021-03-05 17:23:17+00:00,Kline Greenlemon is Partying!,117,Kline Greenlemon is Partying!,24,party,-1,,,,-1,-1,-1
43,11,96,2021-03-05 18:05:51+00:00,King Weatherman is Partying!,117,King Weatherman is Partying!,24,party,49,2021-03-05 18:06:00.479379+00:00,King Weatherman,party,17209345636751418605,16420534850057496926,12
44,11,96,2021-03-05 18:07:06+00:00,Eizabeth Elliott is Partying!,117,Eizabeth Elliott is Partying!,24,party,-1,,,,-1,-1,-1
45,11,96,2021-03-05 18:10:42+00:00,Tillman Henderson is Partying!,117,Tillman Henderson is Partying!,24,party,-1,,,,-1,-1,-1
46,11,96,2021-03-05 18:20:50+00:00,Sam Scandal is Partying!,117,Sam Scandal is Partying!,24,party,-1,,,,-1,-1,-1
47,11,96,2021-03-05 18:30:55+00:00,Washer Barajas is Partying!,117,Washer Barajas is Partying!,24,party,-1,,,,-1,-1,-1
48,11,96,2021-03-05 18:32:54+00:00,Rodriguez Internet is Partying!,117,Rodriguez Internet is Partying!,24,party,-1,,,,-1,-1,-1
49,11,96,2021-03-05 18:34:16+00:00,Oscar Dollie is Partying!,117,Oscar Dollie is Partying!,24,party,-1,,,,-1,-1,-1
50,11,97,2021-03-05 19:02:16+00:00,Curry Aliciakeyes is Partying!,117,Curry Aliciakeyes is Partying!,24,party,-1,,,,-1,-1,-1
51,11,97,2021-03-05 19:02:41+00:00,Castillo Turner is Partying!,117,Castillo Turner is Partying!,24,party,-1,,,,-1,-1,-1
52,11,97,2021-03-05 19:04:07+00:00,Lenny Spruce is Partying!,117,Lenny Spruce is Partying!,24,party,-1,,,,-1,-1,-1
53,11,97,2021-03-05 19:08:03+00:00,Sandford Garner is Partying!,117,Sandford Garner is Partying!,24,party,-1,,,,-1,-1,-1
54,11,97,2021-03-05 19:09:14+00:00,Mullen Peterson is Partying!,117,Mullen Peterson is Partying!,24,party,-1,,,,-1,-1,-1
55,11,97,2021-03-05 19:12:24+00:00,Elwin McGhee is Partying!,117,Elwin McGhee is Partying!,24,party,-1,,,,-1,-1,-1
56,11,97,2021-03-05 19:20:21+00:00,Allison Abbott is Partying!,117,Allison Abbott is Partying!,24,party,-1,,,,-1,-1,-1
57,11,97,2021-03-05 19:22:01+00:00,Rai Spliff is Partying!,117,Rai Spliff is Partying!,24,party,-1,,,,-1,-1,-1
58,11,98,2021-03-05 20:01:51+00:00,Lance Serotonin is Partying!,117,Lance Serotonin is Partying!,24,party,50,2021-03-05 20:02:00.482959+00:00,Lance Serotonin,party,9045977055193896959,5849482401889431724,44
59,11,98,2021-03-05 20:05:01+00:00,Randy Dennis is Partying!,117,Randy Dennis is Partying!,24,party,-1,,,,-1,-1,-1
60,11,98,2021-03-05 20:10:38+00:00,Fletcher Yamamoto is Partying!,117,Fletcher Yamamoto is Partying!,24,party,-1,,,,-1,-1,-1
61,11,98,2021-03-05 20:18:09+00:00,Lachlan Shelton is Partying!,117,Lachlan Shelton is Partying!,24,party,-1,,,,-1,-1,-1
62,11,98,2021-03-05 20:20:54+00:00,Kit Adamses is Partying!,117,Kit Adamses is Partying!,24,party,-1,,,,-1,-1,-1
63,11,98,2021-03-05 20:23:54+00:00,Richardson Games is Partying!,117,Richardson Games is Partying!,24,party,50,2021-03-05 20:24:00.566017+00:00,Richardson Games,party,6561429680942819828,12856559583489979127,43
64,11,115,2021-03-07 19:01:04+00:00,Peanut Bong entered the Shadows.,117,Will Received: Foreshadow,61,shadow,-1,,,,-1,-1,-1
