,event_type,weather_roll,has_runner,mystery_roll,should_try_to_steal_roll,pitch_in_strike_zone_roll,batter_swings_roll,contact_roll,foul_roll,unknown_roll_1,hit_or_out_roll,unknown_roll_2,unknown_roll_3,unknown_roll_4,unknown_roll_5,unknown_roll_6,unknown_roll_7,fielder_selection_roll,unknown_after_fielder_selection_roll,bird_number_roll,bird_message_roll,thief,batter.thwackability,batter.moxie,batter.divinity,batter.musclitude,batter.patheticism,batter.buoyancy,batter.baseThirst,batter.laserlikeness,batter.groundFriction,batter.continuation,batter.indulgence,batter.martyrdom,batter.tragicness,batter.shakespearianism,batter.suppression,batter.unthwackability,batter.coldness,batter.overpowerment,batter.ruthlessness,batter.omniscience,batter.tenaciousness,batter.watchfulness,batter.anticapitalism,batter.chasiness,batter.pressurization,batter.cinnamon,batter.vibes,pitcher.thwackability,pitcher.moxie,pitcher.divinity,pitcher.musclitude,pitcher.patheticism,pitcher.buoyancy,pitcher.baseThirst,pitcher.laserlikeness,pitcher.groundFriction,pitcher.continuation,pitcher.indulgence,pitcher.martyrdom,pitcher.tragicness,pitcher.shakespearianism,pitcher.suppression,pitcher.unthwackability,pitcher.coldness,pitcher.overpowerment,pitcher.ruthlessness,pitcher.omniscience,pitcher.tenaciousness,pitcher.watchfulness,pitcher.anticapitalism,pitcher.chasiness,pitcher.pressurization,pitcher.cinnamon,pitcher.vibes,batter,thief.thwackability,thief.moxie,thief.divinity,thief.musclitude,thief.patheticism,thief.buoyancy,thief.baseThirst,thief.laserlikeness,thief.groundFriction,thief.continuation,thief.indulgence,thief.martyrdom,thief.tragicness,thief.shakespearianism,thief.suppression,thief.unthwackability,thief.coldness,thief.overpowerment,thief.ruthlessness,thief.omniscience,thief.tenaciousness,thief.watchfulness,thief.anticapitalism,thief.chasiness,thief.pressurization,thief.cinnamon,thief.vibes,pitcher
0,EventType.Ball,0.3411485651677799,False,0.23467979346245316,,0.8100314904449302,0.5733012415265046,,,,,,,,,,,,,,,,0.7022587362242676,0.5360370270065851,0.8088506413301586,0.5447317125995685,0.11442725041778212,0.885056788414295,0.5019813176944115,0.4382731998927134,0.6543010879309619,0.7703597631858468,0.753369168572978,0.4202046908759163,0.1,0.31166628366763294,0.13795257315612175,0.01868622392277075,0.6372037551038263,0.37844917513768594,0.2081516937847605,0.1416787439634557,0.40498965542256404,0.17502324988546447,0.7347059210128348,0.21087225020173306,0.7609978072552137,0.6277302593031564,-0.13921457932302833,0.5444659557945919,0.05686289948792633,0.8697201438648645,0.3297063728325662,0.04537659947494732,0.4437287069785445,0.1898492922122359,0.06953112073308088,0.5868688483754307,0.8150544573271128,0.10336761033259734,0.792819023204071,0.1,0.15878862873640243,0.3432151165790238,0.778070178037594,0.579933883865444,0.5817599034472314,0.3527204221233642,0.0943375632690775,0.03572765518072685,0.3384700155111431,0.4429184416726426,0.9489310780406051,0.838812986945503,0.14778327621104803,0.05357171637300501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EventType.Foul,0.7743298540148253,False,0.963611320750182,,0.31184726918650774,0.13252503824962591,0.5306227104424937,0.23346336092772102,,,,,,,,,,,,,,0.7022587362242676,0.5360370270065851,0.8088506413301586,0.5447317125995685,0.11442725041778212,0.885056788414295,0.5019813176944115,0.4382731998927134,0.6543010879309619,0.7703597631858468,0.753369168572978,0.4202046908759163,0.1,0.31166628366763294,0.13795257315612175,0.01868622392277075,0.6372037551038263,0.37844917513768594,0.2081516937847605,0.1416787439634557,0.40498965542256404,0.17502324988546447,0.7347059210128348,0.21087225020173306,0.7609978072552137,0.6277302593031564,-0.13921457932302833,0.5444659557945919,0.05686289948792633,0.8697201438648645,0.3297063728325662,0.04537659947494732,0.4437287069785445,0.1898492922122359,0.06953112073308088,0.5868688483754307,0.8150544573271128,0.10336761033259734,0.792819023204071,0.1,0.15878862873640243,0.3432151165790238,0.778070178037594,0.579933883865444,0.5817599034472314,0.3527204221233642,0.0943375632690775,0.03572765518072685,0.3384700155111431,0.4429184416726426,0.9489310780406051,0.838812986945503,0.14778327621104803,0.05357171637300501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,EventType.Foul,0.8565532450264621,False,0.17955157787255938,,0.4386791619421688,0.28401649978912125,0.9908623422110363,0.13686473205895466,,,,,,,,,,,,,,0.7022587362242676,0.5360370270065851,0.8088506413301586,0.5447317125995685,0.11442725041778212,0.885056788414295,0.5019813176944115,0.4382731998927134,0.6543010879309619,0.7703597631858468,0.753369168572978,0.4202046908759163,0.1,0.31166628366763294,0.13795257315612175,0.01868622392277075,0.6372037551038263,0.37844917513768594,0.2081516937847605,0.1416787439634557,0.40498965542256404,0.17502324988546447,0.7347059210128348,0.21087225020173306,0.7609978072552137,0.6277302593031564,-0.13921457932302833,0.5444659557945919,0.05686289948792633,0.8697201438648645,0.3297063728325662,0.04537659947494732,0.4437287069785445,0.1898492922122359,0.06953112073308088,0.5868688483754307,0.8150544573271128,0.10336761033259734,0.792819023204071,0.1,0.15878862873640243,0.3432151165790238,0.778070178037594,0.579933883865444,0.5817599034472314,0.3527204221233642,0.0943375632690775,0.03572765518072685,0.3384700155111431,0.4429184416726426,0.9489310780406051,0.838812986945503,0.14778327621104803,0.05357171637300501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EventType.StrikeLooking,0.5342448160019821,False,0.9644188122650161,,0.24964407169490044,0.9512863431799499,,,,,,,,,,,,,,,,0.7022587362242676,0.5360370270065851,0.8088506413301586,0.5447317125995685,0.11442725041778212,0.885056788414295,0.5019813176944115,0.4382731998927134,0.6543010879309619,0.7703597631858468,0.753369168572978,0.4202046908759163,0.1,0.31166628366763294,0.13795257315612175,0.01868622392277075,0.6372037551038263,0.37844917513768594,0.2081516937847605,0.1416787439634557,0.40498965542256404,0.17502324988546447,0.7347059210128348,0.21087225020173306,0.7609978072552137,0.6277302593031564,-0.13921457932302833,0.5444659557945919,0.05686289948792633,0.8697201438648645,0.3297063728325662,0.04537659947494732,0.4437287069785445,0.1898492922122359,0.06953112073308088,0.5868688483754307,0.8150544573271128,0.10336761033259734,0.792819023204071,0.1,0.15878862873640243,0.3432151165790238,0.778070178037594,0.579933883865444,0.5817599034472314,0.3527204221233642,0.0943375632690775,0.03572765518072685,0.3384700155111431,0.4429184416726426,0.9489310780406051,0.838812986945503,0.14778327621104803,0.05357171637300501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,EventType.HomeRun,0.7003380652278111,True,0.9473094578354848,,0.6931092667587011,0.211110765998908,0.314571719564406,0.6868463500168609,0.06092237717899951,0.11730822841135446,0.6921091827997192,0.7955196372031657,0.15545193723427708,0.90009665954918,,,,,,,,0.8324082532524515,0.5988984871646374,0.9785593407198634,0.1667896850872197,0.10882542092432224,0.19026947108222947,0.20711089597050192,0.43180327640233584,0.5058957161633977,0.00800787518610302,0.4737082695539552,0.7159398552318239,0.1,0.7179920824094932,0.8848411392483286,0.14827304368319583,0.9104399897099844,0.1597355473853328,0.45467540136279205,0.838217799589372,0.5236281328775865,0.48664524222464967,0.5155358879763106,0.1847320572197091,0.31307167553693827,0.4508145487301112,-0.20120312802052298,0.5444659557945919,0.05686289948792633,0.8697201438648645,0.3297063728325662,0.04537659947494732,0.4437287069785445,0.1898492922122359,0.06953112073308088,0.5868688483754307,0.8150544573271128,0.10336761033259734,0.792819023204071,0.1,0.15878862873640243,0.3432151165790238,0.778070178037594,0.579933883865444,0.5817599034472314,0.3527204221233642,0.0943375632690775,0.03572765518072685,0.3384700155111431,0.4429184416726426,0.9489310780406051,0.838812986945503,0.14778327621104803,0.05357171637300501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,EventType.Ball,0.7257851922956937,True,0.025837820599602823,0.3104858324729778,0.9075921334758799,0.9075682533334484,,,,,,,,,,,,,,,,0.9232820621017053,0.7924746391865745,1.0264554950661913,1.1362941924123677,0.40590198952572454,0.7290386558929516,0.8937081572225478,0.3883179230872258,0.8970693806274312,0.7851231462319437,0.5791018871160651,1.3843961867934054,0.1,0.8057369039444793,0.8128774318124143,0.21018316390635827,0.36424907711844057,0.49924279341878286,0.3321803174782816,0.520428977901964,0.25571806043038703,0.46690651205998646,0.5815585414248714,0.49217601055241667,0.19240544381174618,0.3542455840750931,-0.12366701480436681,0.5444659557945919,0.05686289948792633,0.8697201438648645,0.3297063728325662,0.04537659947494732,0.4437287069785445,0.1898492922122359,0.06953112073308088,0.5868688483754307,0.8150544573271128,0.10336761033259734,0.792819023204071,0.1,0.15878862873640243,0.3432151165790238,0.778070178037594,0.579933883865444,0.5817599034472314,0.3527204221233642,0.0943375632690775,0.03572765518072685,0.3384700155111431,0.4429184416726426,0.9489310780406051,0.838812986945503,0.14778327621104803,0.05357171637300501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,EventType.Ball,0.8872295483614048,True,0.3618443421270032,0.3403894792485389,0.6683843883678258,0.9041643269880564,,,,,,,,,,,,,,,,0.9232820621017053,0.7924746391865745,1.0264554950661913,1.1362941924123677,0.40590198952572454,0.7290386558929516,0.8937081572225478,0.3883179230872258,0.8970693806274312,0.7851231462319437,0.5791018871160651,1.3843961867934054,0.1,0.8057369039444793,0.8128774318124143,0.21018316390635827,0.36424907711844057,0.49924279341878286,0.3321803174782816,0.520428977901964,0.25571806043038703,0.46690651205998646,0.5815585414248714,0.49217601055241667,0.19240544381174618,0.3542455840750931,-0.12366701480436681,0.5444659557945919,0.05686289948792633,0.8697201438648645,0.3297063728325662,0.04537659947494732,0.4437287069785445,0.1898492922122359,0.06953112073308088,0.5868688483754307,0.8150544573271128,0.10336761033259734,0.792819023204071,0.1,0.15878862873640243,0.3432151165790238,0.778070178037594,0.579933883865444,0.5817599034472314,0.3527204221233642,0.0943375632690775,0.03572765518072685,0.3384700155111431,0.4429184416726426,0.9489310780406051,0.838812986945503,0.14778327621104803,0.05357171637300501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,EventType.Ball,0.2662200966356878,True,0.4435022859131281,0.20812439961062146,0.5422537094563631,0.6725765558569656,,,,,,,,,,,,,,,,0.9232820621017053,0.7924746391865745,1.0264554950661913,1.1362941924123677,0.40590198952572454,0.7290386558929516,0.8937081572225478,0.3883179230872258,0.8970693806274312,0.7851231462319437,0.5791018871160651,1.3843961867934054,0.1,0.8057369039444793,0.8128774318124143,0.21018316390635827,0.36424907711844057,0.49924279341878286,0.3321803174782816,0.520428977901964,0.25571806043038703,0.46690651205998646,0.5815585414248714,0.49217601055241667,0.19240544381174618,0.3542455840750931,-0.12366701480436681,0.5444659557945919,0.05686289948792633,0.8697201438648645,0.3297063728325662,0.04537659947494732,0.4437287069785445,0.1898492922122359,0.06953112073308088,0.5868688483754307,0.8150544573271128,0.10336761033259734,0.792819023204071,0.1,0.15878862873640243,0.3432151165790238,0.778070178037594,0.579933883865444,0.5817599034472314,0.3527204221233642,0.0943375632690775,0.03572765518072685,0.3384700155111431,0.4429184416726426,0.9489310780406051,0.838812986945503,0.14778327621104803,0.05357171637300501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,EventType.Foul,0.21874357062073657,True,0.33326850017185783,0.7352450930479026,0.07737600554274082,0.022380073694939107,0.41649085139844555,0.3321790966075491,,,,,,,,,,,,,,0.9232820621017053,0.7924746391865745,1.0264554950661913,1.1362941924123677,0.40590198952572454,0.7290386558929516,0.8937081572225478,0.3883179230872258,0.8970693806274312,0.7851231462319437,0.5791018871160651,1.3843961867934054,0.1,0.8057369039444793,0.8128774318124143,0.21018316390635827,0.36424907711844057,0.49924279341878286,0.3321803174782816,0.520428977901964,0.25571806043038703,0.46690651205998646,0.5815585414248714,0.49217601055241667,0.19240544381174618,0.3542455840750931,-0.12366701480436681,0.5444659557945919,0.05686289948792633,0.8697201438648645,0.3297063728325662,0.04537659947494732,0.4437287069785445,0.1898492922122359,0.06953112073308088,0.5868688483754307,0.8150544573271128,0.10336761033259734,0.792819023204071,0.1,0.15878862873640243,0.3432151165790238,0.778070178037594,0.579933883865444,0.5817599034472314,0.3527204221233642,0.0943375632690775,0.03572765518072685,0.3384700155111431,0.4429184416726426,0.9489310780406051,0.838812986945503,0.14778327621104803,0.05357171637300501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,EventType.Foul,0.47320631458302276,True,0.43661883656007516,0.4648052901597852,0.7674636679062805,0.008756958284219296,0.3379675823979571,0.1112850051247889,,,,,,,,,,,,,,0.9232820621017053,0.7924746391865745,1.0264554950661913,1.1362941924123677,0.40590198952572454,0.7290386558929516,0.8937081572225478,0.3883179230872258,0.8970693806274312,0.7851231462319437,0.5791018871160651,1.3843961867934054,0.1,0.8057369039444793,0.8128774318124143,0.21018316390635827,0.36424907711844057,0.49924279341878286,0.3321803174782816,0.520428977901964,0.25571806043038703,0.46690651205998646,0.5815585414248714,0.49217601055241667,0.19240544381174618,0.3542455840750931,-0.12366701480436681,0.5444659557945919,0.05686289948792633,0.8697201438648645,0.3297063728325662,0.04537659947494732,0.4437287069785445,0.1898492922122359,0.06953112073308088,0.5868688483754307,0.8150544573271128,0.10336761033259734,0.792819023204071,0.1,0.15878862873640243,0.3432151165790238,0.778070178037594,0.579933883865444,0.5817599034472314,0.3527204221233642,0.0943375632690775,0.03572765518072685,0.3384700155111431,0.4429184416726426,0.9489310780406051,0.838812986945503,0.14778327621104803,0.05357171637300501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,EventType.Ball,0.2201403944793925,True,0.1821417860737904,0.20745970490652477,0.4836307021104833,0.4788122420440828,,,,,,,,,,,,,,,,0.9232820621017053,0.7924746391865745,1.0264554950661913,1.1362941924123677,0.40590198952572454,0.7290386558929516,0.8937081572225478,0.3883179230872258,0.8970693806274312,0.7851231462319437,0.5791018871160651,1.3843961867934054,0.1,0.8057369039444793,0.8128774318124143,0.21018316390635827,0.36424907711844057,0.49924279341878286,0.3321803174782816,0.520428977901964,0.25571806043038703,0.46690651205998646,0.5815585414248714,0.49217601055241667,0.19240544381174618,0.3542455840750931,-0.12366701480436681,0.5444659557945919,0.05686289948792633,0.8697201438648645,0.3297063728325662,0.04537659947494732,0.4437287069785445,0.1898492922122359,0.06953112073308088,0.5868688483754307,0.8150544573271128,0.10336761033259734,0.792819023204071,0.1,0.15878862873640243,0.3432151165790238,0.778070178037594,0.579933883865444,0.5817599034472314,0.3527204221233642,0.0943375632690775,0.03572765518072685,0.3384700155111431,0.4429184416726426,0.9489310780406051,0.838812986945503,0.14778327621104803,0.05357171637300501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
