,event_type,weather_val,has_runner,mystery_val,steal_val,strike_zone_val,pitcher_ruth,swing_val,batter_path,batter_moxie,contact_val,foul_val,one_val,hit_val,three_val
0,EventType.StrikeLooking,0.1089542794891094,False,0.38078511840314677,,0.35154165485039535,0.8999049478812817,0.17916096250861857,0.11442725041778212,0.5360370270065851,,,,,
1,EventType.Foul,0.3528617836832393,False,0.2553870933651281,,0.622368278170375,0.8999049478812817,0.28614885707049664,0.11442725041778212,0.5360370270065851,0.8437923258464304,0.2030253143288281,,,
2,EventType.Weather,0.04002140997154924,False,,,,,,,,,,,,
3,EventType.Ball,0.17193886578758977,False,0.511683585913189,,0.7311388355776671,0.8999049478812817,0.7263825536400779,0.11442725041778212,0.5360370270065851,,,,,
4,EventType.HomeRun,0.8592312155111432,False,0.19266656940464433,,0.41873532607544406,0.8999049478812817,0.09375956765171645,0.11442725041778212,0.5360370270065851,0.756948315985891,0.4991058884242425,0.20724934853966293,0.08694200056718793,
5,EventType.StrikeSwinging,0.9034763431839825,False,0.5826361636602742,,0.9873483845430615,0.8999049478812817,0.28926898721105454,0.5882915135341877,0.8417152961778871,0.9753346812804486,,,,
6,EventType.Ball,0.6035522414026628,False,0.7931321450294757,,0.7993281619424037,0.8999049478812817,0.38604145007036017,0.5882915135341877,0.8417152961778871,,,,,
7,EventType.StrikeLooking,0.984849491353248,False,0.9991777395022718,,0.6351725614216472,0.8999049478812817,0.8921121029160051,0.5882915135341877,0.8417152961778871,,,,,
8,EventType.Ball,0.4103439077583826,False,0.0422598755630228,,0.767794448569219,0.8999049478812817,0.9089315118917303,0.5882915135341877,0.8417152961778871,,,,,
9,EventType.Ball,0.22483993586248374,False,0.4394714392874144,,0.7472678377580031,0.8999049478812817,0.4089986865756583,0.5882915135341877,0.8417152961778871,,,,,
10,EventType.HomeRun,0.8524675433362272,False,0.5907272276068369,,0.2745735697842866,0.8999049478812817,0.1185666095290927,0.5882915135341877,0.8417152961778871,0.686941858285212,0.5663271106232262,0.36796431293496457,0.8317251327165405,0.18196745416974291
11,EventType.Foul,0.6761349055041492,False,0.5407409504733909,,0.581652963355652,0.8999049478812817,0.656050291596648,0.40590198952572454,0.7924746391865745,0.8053578125512237,0.1797502375505704,,,
12,EventType.StrikeLooking,0.9009721309587162,False,0.8959987376625285,,0.4390909018374274,0.8999049478812817,0.8672732464287569,0.40590198952572454,0.7924746391865745,,,,,
13,EventType.HomeRun,0.07721599827691272,True,0.9234012522021209,,0.20247397406866185,0.8999049478812817,0.4703449792463861,0.40590198952572454,0.7924746391865745,0.27486181905384677,0.8466869581705405,0.04095037191847739,0.2759142611648193,0.570673569481015
14,EventType.StrikeSwinging,0.6334554654587383,True,0.6506864934063568,0.6586699095347928,0.8524106537122833,0.8999049478812817,0.2862872164171639,0.9794611915455498,0.8261238007624416,0.8660067686857709,,,,
15,EventType.StrikeLooking,0.5080609428269052,True,0.4776991782282993,0.2645314614676346,0.17353917175051925,0.8999049478812817,0.9631542681094454,0.9794611915455498,0.8261238007624416,,,,,
16,EventType.HomeRun,0.9912008229938185,True,0.2704860335516506,0.6023903054735396,0.32083827870298176,0.8999049478812817,0.3515376532051162,0.9794611915455498,0.8261238007624416,0.14809908634559288,0.7313941452504689,0.9676152958429203,0.085919421850019,0.7295018846846371
17,EventType.HomeRun,0.5451361429152426,True,0.4060587063986234,0.6592812858209729,0.22100948897726225,0.8999049478812817,0.46765004466051985,0.544985525992606,0.545994340917979,0.9099194592920901,0.6497941283145494,0.15356700586675176,0.3017754313944301,0.7411415389111367
18,EventType.FieldersChoice,0.48061645734634895,True,0.6586636112095916,0.029375294257604656,0.6202301019152394,0.8999049478812817,0.9567909751536487,0.30445261358079745,0.37686939556065324,0.3585096830217507,0.11491640767136113,0.9134043080132204,0.36346693788735984,0.9096801710409237
19,EventType.StrikeLooking,0.8266005975770572,True,0.15581805103350121,0.8231817664415759,0.09500183659634898,0.8999049478812817,0.6175774685772455,0.7727426880749548,0.6012156325812277,,,,,
20,EventType.StrikeLooking,0.5635483367649663,True,0.9903931561118093,0.20045117969517645,0.003744698216320508,0.8999049478812817,0.655623028264684,0.7727426880749548,0.6012156325812277,,,,,
21,EventType.HomeRun,0.09876236245996806,False,0.5726080145845689,0.5457520486818404,0.49080233486378777,0.8999049478812817,0.09220074188735405,0.7727426880749548,0.6012156325812277,0.038284348299348014,0.7748902850004071,0.6217899698530271,0.6955157422924596,0.5019362780112897
22,EventType.StrikeSwinging,0.6348227058146534,False,0.24121577383213344,,0.8325597394159678,0.42849828365023324,0.1817109316582195,0.40485185317030514,0.09806564282542163,0.834678313715348,,,,
23,EventType.Foul,0.21895679977764315,False,0.5065173413815944,,0.23952919475964496,0.42849828365023324,0.23818594217897715,0.40485185317030514,0.09806564282542163,0.12976135339706163,0.2668517052982302,,,
24,EventType.HomeRun,0.14950028209928812,False,0.7132121121992625,,0.2817554292012179,0.42849828365023324,0.58457975605317,0.40485185317030514,0.09806564282542163,0.7973918997005685,0.9201825494380769,0.9843848774621837,0.4575305444614335,0.4364730001487387
25,EventType.StrikeLooking,0.3042600259906658,False,0.3833657518037288,,0.12485720971208769,0.42849828365023324,0.8437809524200457,0.8210659026286053,0.10650390647287211,,,,,
26,EventType.Ball,0.051962589251469904,False,0.28799445785448974,,0.5280011612273743,0.42849828365023324,0.6007193733708893,0.8210659026286053,0.10650390647287211,,,,,
27,EventType.Weather,0.013789905882903852,False,,,,,,,,,,,,
