,event_type,weather_roll,has_runner,mystery_roll,should_try_to_steal_roll,pitch_in_strike_zone_roll,batter_swings_roll,contact_roll,foul_roll,unknown_roll_1,hit_or_out_roll,unknown_roll_2,unknown_roll_3,unknown_roll_4,unknown_roll_5,unknown_roll_6,unknown_roll_7,fielder_selection_roll,unknown_after_fielder_selection_roll,bird_number_roll,bird_message_roll,batter,pitcher,thief,batter.thwackability,batter.moxie,batter.divinity,batter.musclitude,batter.patheticism,batter.buoyancy,batter.baseThirst,batter.laserlikeness,batter.groundFriction,batter.continuation,batter.indulgence,batter.martyrdom,batter.tragicness,batter.shakespearianism,batter.suppression,batter.unthwackability,batter.coldness,batter.overpowerment,batter.ruthlessness,batter.omniscience,batter.tenaciousness,batter.watchfulness,batter.anticapitalism,batter.chasiness,batter.pressurization,batter.cinnamon,batter.vibes,pitcher.thwackability,pitcher.moxie,pitcher.divinity,pitcher.musclitude,pitcher.patheticism,pitcher.buoyancy,pitcher.baseThirst,pitcher.laserlikeness,pitcher.groundFriction,pitcher.continuation,pitcher.indulgence,pitcher.martyrdom,pitcher.tragicness,pitcher.shakespearianism,pitcher.suppression,pitcher.unthwackability,pitcher.coldness,pitcher.overpowerment,pitcher.ruthlessness,pitcher.omniscience,pitcher.tenaciousness,pitcher.watchfulness,pitcher.anticapitalism,pitcher.chasiness,pitcher.pressurization,pitcher.cinnamon,pitcher.vibes
0,EventType.Weather,0.044996647256011935,False,,,,,,,,,,,,,,,,,0.13270957543452555,0.48250273706979985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EventType.StrikeLooking,0.579046416343924,True,0.27993972321101945,0.333031121102388,0.1962518844925334,0.8302647713282993,,,,,,,,,,,,,,,,,,0.5922576517915663,0.361725526744999,0.07934735684153726,0.4318860947862706,0.9558594890168419,0.7916822808490369,0.7023558085003117,0.5640442264323791,0.03297378674379137,0.728307620811121,0.033095327427988375,0.4540472953642174,0.1,0.4207645773674664,0.2875622679352168,0.9733772105641576,0.9186176488152509,0.6986100230672851,0.23289673143460643,0.8780910253237869,1.0282393455443493,0.9511873648063626,0.8903011993931281,0.3801788676773289,0.7965948938008762,0.8909028259971443,-0.4789148433788347,0.19781289476747377,0.17873352529759567,0.0018441821929744417,0.8792967557095006,0.32021053908177266,0.5023325907391223,0.5166961351202788,0.08154083043554738,0.5377012608795222,0.7721746381510302,0.3143359555169989,0.17418035550907263,0.1,0.5710520499037187,0.13788243031153327,0.8488857277543648,0.6268264044317687,0.28892300557808615,0.9089262813278692,0.43422169256121146,0.234134150575378,0.881366456611439,0.5119227587060775,0.4789110534870715,0.012960550734828935,0.6693659422142104,0.2796501034928819
2,EventType.StrikeLooking,0.891429911632944,True,0.7815710245640808,0.7125724080451252,0.17452220005258834,0.8209543567718669,,,,,,,,,,,,,,,,,,0.5922576517915663,0.361725526744999,0.07934735684153726,0.4318860947862706,0.9558594890168419,0.7916822808490369,0.7023558085003117,0.5640442264323791,0.03297378674379137,0.728307620811121,0.033095327427988375,0.4540472953642174,0.1,0.4207645773674664,0.2875622679352168,0.9733772105641576,0.9186176488152509,0.6986100230672851,0.23289673143460643,0.8780910253237869,1.0282393455443493,0.9511873648063626,0.8903011993931281,0.3801788676773289,0.7965948938008762,0.8909028259971443,-0.4789148433788347,0.19781289476747377,0.17873352529759567,0.0018441821929744417,0.8792967557095006,0.32021053908177266,0.5023325907391223,0.5166961351202788,0.08154083043554738,0.5377012608795222,0.7721746381510302,0.3143359555169989,0.17418035550907263,0.1,0.5710520499037187,0.13788243031153327,0.8488857277543648,0.6268264044317687,0.28892300557808615,0.9089262813278692,0.43422169256121146,0.234134150575378,0.881366456611439,0.5119227587060775,0.4789110534870715,0.012960550734828935,0.6693659422142104,0.2796501034928819
3,EventType.Weather,0.014213354843566783,False,,,,,,,,,,,,,,,,,0.14713644834889927,0.46368638460616873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,EventType.StrikeLooking,0.7157909740356487,True,0.9320546607804647,0.2670129677279309,0.5615009244048064,0.9237274963859952,,,,,,,,,,,,,,,,,,0.5922576517915663,0.361725526744999,0.07934735684153726,0.4318860947862706,0.9558594890168419,0.7916822808490369,0.7023558085003117,0.5640442264323791,0.03297378674379137,0.728307620811121,0.033095327427988375,0.4540472953642174,0.1,0.4207645773674664,0.2875622679352168,0.9733772105641576,0.9186176488152509,0.6986100230672851,0.23289673143460643,0.8780910253237869,1.0282393455443493,0.9511873648063626,0.8903011993931281,0.3801788676773289,0.7965948938008762,0.8909028259971443,-0.4789148433788347,0.19781289476747377,0.17873352529759567,0.0018441821929744417,0.8792967557095006,0.32021053908177266,0.5023325907391223,0.5166961351202788,0.08154083043554738,0.5377012608795222,0.7721746381510302,0.3143359555169989,0.17418035550907263,0.1,0.5710520499037187,0.13788243031153327,0.8488857277543648,0.6268264044317687,0.28892300557808615,0.9089262813278692,0.43422169256121146,0.234134150575378,0.881366456611439,0.5119227587060775,0.4789110534870715,0.012960550734828935,0.6693659422142104,0.2796501034928819
5,EventType.FieldersChoice,0.10208670822311672,True,0.5296301033128632,0.7465647620431131,0.137930406149257,0.357473466462763,0.18009273281264893,0.6148509872128485,0.2099625499614881,0.8773027994620439,0.7817561763653713,0.4544798568514954,0.7457565081137902,0.3657952058520726,0.7694319671503025,,,,,,,,,0.41846803152729906,0.5098271735720075,0.4232458500138414,0.39916927039006067,0.8532119766355108,0.07180377008997119,0.44753989326318,0.33409359560637686,0.05281653002680864,0.6604766776265041,0.5031793286354087,0.3762843951419368,0.1,0.4036740566960553,0.2394163864630796,0.01681987863259593,0.00996592432982002,0.06938720820506816,0.716770606203132,1.0271022885131187,0.9885342961947018,0.20240383524804914,1.105766342313032,1.0982805780238896,0.529783667036968,0.4130732515917548,-0.1632579087828172,0.19781289476747377,0.17873352529759567,0.0018441821929744417,0.8792967557095006,0.32021053908177266,0.5023325907391223,0.5166961351202788,0.08154083043554738,0.5377012608795222,0.7721746381510302,0.3143359555169989,0.17418035550907263,0.1,0.5710520499037187,0.13788243031153327,0.8488857277543648,0.6268264044317687,0.28892300557808615,0.9089262813278692,0.43422169256121146,0.234134150575378,0.881366456611439,0.5119227587060775,0.4789110534870715,0.012960550734828935,0.6693659422142104,0.2796501034928819
6,EventType.Ball,0.26880209362278795,True,0.014048345374147786,0.9049056325736458,0.9989273676302395,0.5173593295911905,,,,,,,,,,,,,,,,,,0.43474454367616966,0.4478996779949296,0.5511325080695815,0.7801343463508277,0.33330406246142297,0.17978069041392297,0.43999887069828203,0.25137056363043153,0.7430679512990324,0.838144810313604,0.3043581420848025,0.5303331747298141,0.1,0.9173213545773562,0.9004684843462387,0.7999133768454478,0.2931454634699837,0.8260308898644133,0.6976902684669866,1.1009325710195568,0.32025714111216963,0.7679038615868464,0.7175170593669699,1.0987743366133162,0.96912891962523,0.657491034652482,-0.7309159425279295,0.19781289476747377,0.17873352529759567,0.0018441821929744417,0.8792967557095006,0.32021053908177266,0.5023325907391223,0.5166961351202788,0.08154083043554738,0.5377012608795222,0.7721746381510302,0.3143359555169989,0.17418035550907263,0.1,0.5710520499037187,0.13788243031153327,0.8488857277543648,0.6268264044317687,0.28892300557808615,0.9089262813278692,0.43422169256121146,0.234134150575378,0.881366456611439,0.5119227587060775,0.4789110534870715,0.012960550734828935,0.6693659422142104,0.2796501034928819
7,EventType.HomeRun,0.3801816850125259,True,0.09222319275427404,0.9740262700098878,0.022629847301459227,0.41005606410142303,0.19967536543780362,0.3207457112017271,0.12225085417308001,0.07799689407702437,0.8433435984644977,0.7740989933845355,0.7712988652016917,0.6117647438151226,,,,,,,,,,0.43474454367616966,0.4478996779949296,0.5511325080695815,0.7801343463508277,0.33330406246142297,0.17978069041392297,0.43999887069828203,0.25137056363043153,0.7430679512990324,0.838144810313604,0.3043581420848025,0.5303331747298141,0.1,0.9173213545773562,0.9004684843462387,0.7999133768454478,0.2931454634699837,0.8260308898644133,0.6976902684669866,1.1009325710195568,0.32025714111216963,0.7679038615868464,0.7175170593669699,1.0987743366133162,0.96912891962523,0.657491034652482,-0.7309159425279295,0.19781289476747377,0.17873352529759567,0.0018441821929744417,0.8792967557095006,0.32021053908177266,0.5023325907391223,0.5166961351202788,0.08154083043554738,0.5377012608795222,0.7721746381510302,0.3143359555169989,0.17418035550907263,0.1,0.5710520499037187,0.13788243031153327,0.8488857277543648,0.6268264044317687,0.28892300557808615,0.9089262813278692,0.43422169256121146,0.234134150575378,0.881366456611439,0.5119227587060775,0.4789110534870715,0.012960550734828935,0.6693659422142104,0.2796501034928819
8,EventType.Weather,0.016752631616872682,False,,,,,,,,,,,,,,,,,0.17573249043884975,0.8061851145887069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,EventType.StrikeSwinging,0.10248672619133492,True,0.3003518100540896,0.4016337618488268,0.7878886328574564,0.037615496088771794,0.45153316274439614,,,,,,,,,,,,,,,,,0.9535134766397051,0.5024106807679609,0.7586588394517786,0.5674503101498585,0.6748439619681941,0.6305034800523104,0.4593815269177984,0.540066251980097,0.7801343330747577,0.9759685540381304,0.6498944436385159,0.5032462560376627,0.1,1.1132992228366232,0.5457464277287041,0.39109767751924945,0.7729467844458233,1.0087182553992786,0.3662870008538926,0.4687973535329724,0.4669234471595754,0.957323951120304,1.0604976356786235,1.0504458387046032,0.3110105145626916,0.2506890101465138,0.21306227663781904,0.19781289476747377,0.17873352529759567,0.0018441821929744417,0.8792967557095006,0.32021053908177266,0.5023325907391223,0.5166961351202788,0.08154083043554738,0.5377012608795222,0.7721746381510302,0.3143359555169989,0.17418035550907263,0.1,0.5710520499037187,0.13788243031153327,0.8488857277543648,0.6268264044317687,0.28892300557808615,0.9089262813278692,0.43422169256121146,0.234134150575378,0.881366456611439,0.5119227587060775,0.4789110534870715,0.012960550734828935,0.6693659422142104,0.2796501034928819
