,event_type,weather_roll,has_runner,mystery_roll,should_try_to_steal_roll,pitch_in_strike_zone_roll,batter_swings_roll,contact_roll,foul_roll,unknown_roll_1,hit_or_out_roll,unknown_roll_2,unknown_roll_3,unknown_roll_4,unknown_roll_5,unknown_roll_6,unknown_roll_7,fielder_selection_roll,unknown_after_fielder_selection_roll,bird_number_roll,bird_message_roll,thief,batter.thwackability,batter.moxie,batter.divinity,batter.musclitude,batter.patheticism,batter.buoyancy,batter.baseThirst,batter.laserlikeness,batter.groundFriction,batter.continuation,batter.indulgence,batter.martyrdom,batter.tragicness,batter.shakespearianism,batter.suppression,batter.unthwackability,batter.coldness,batter.overpowerment,batter.ruthlessness,batter.omniscience,batter.tenaciousness,batter.watchfulness,batter.anticapitalism,batter.chasiness,batter.pressurization,batter.cinnamon,batter.vibes,pitcher.thwackability,pitcher.moxie,pitcher.divinity,pitcher.musclitude,pitcher.patheticism,pitcher.buoyancy,pitcher.baseThirst,pitcher.laserlikeness,pitcher.groundFriction,pitcher.continuation,pitcher.indulgence,pitcher.martyrdom,pitcher.tragicness,pitcher.shakespearianism,pitcher.suppression,pitcher.unthwackability,pitcher.coldness,pitcher.overpowerment,pitcher.ruthlessness,pitcher.omniscience,pitcher.tenaciousness,pitcher.watchfulness,pitcher.anticapitalism,pitcher.chasiness,pitcher.pressurization,pitcher.cinnamon,pitcher.vibes,batter,pitcher,thief.thwackability,thief.moxie,thief.divinity,thief.musclitude,thief.patheticism,thief.buoyancy,thief.baseThirst,thief.laserlikeness,thief.groundFriction,thief.continuation,thief.indulgence,thief.martyrdom,thief.tragicness,thief.shakespearianism,thief.suppression,thief.unthwackability,thief.coldness,thief.overpowerment,thief.ruthlessness,thief.omniscience,thief.tenaciousness,thief.watchfulness,thief.anticapitalism,thief.chasiness,thief.pressurization,thief.cinnamon,thief.vibes
0,EventType.Ball,0.2999881870415999,True,0.576741936936352,0.6733666001982064,0.5269593862509248,0.6926311980193827,,,,,,,,,,,,,,,,0.89378563518355,0.14569048308744148,0.5506165388243167,0.5510823897441568,0.8470052300033166,0.7573296521561019,0.4466171764661544,0.7877182336858708,0.0281922504175367,0.721399123892341,0.7423369376397517,0.7886849409940524,0.1,0.9600814328743839,0.011205197722309546,0.9784171643555766,0.06648003013741022,0.207902773407467,0.4807841028840638,0.23690455524836485,0.37850107593884097,0.8672787557686772,0.6084817820913049,0.007173689123284532,0.5287515061488359,0.9690900438516448,-0.24677519676138682,0.3861824407314889,0.21503670323220203,0.5492147026980116,0.9735170913295967,0.7886653823170251,0.9923500785792798,0.2144094710471276,0.7774754836608222,0.5268778346384717,0.9089269048750446,0.7048905912044643,0.495252744331244,0.1,0.2550784784300654,0.5137453433739979,0.8455918002818453,0.44251126985351313,0.8367015134393799,0.48574097383856246,1.0572451353592036,0.7167347533584815,0.43221874854800085,0.4983034385780349,0.30482502865176236,0.6735110277965328,0.3087316948780716,-0.3703336747236051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EventType.Foul,0.5182595098458977,True,0.3079120749512738,0.12546204513971393,0.234577932745079,0.22114230904808507,0.7310690580467409,0.2874046313382288,,,,,,,,,,,,,,0.89378563518355,0.14569048308744148,0.5506165388243167,0.5510823897441568,0.8470052300033166,0.7573296521561019,0.4466171764661544,0.7877182336858708,0.0281922504175367,0.721399123892341,0.7423369376397517,0.7886849409940524,0.1,0.9600814328743839,0.011205197722309546,0.9784171643555766,0.06648003013741022,0.207902773407467,0.4807841028840638,0.23690455524836485,0.37850107593884097,0.8672787557686772,0.6084817820913049,0.007173689123284532,0.5287515061488359,0.9690900438516448,-0.24677519676138682,0.3861824407314889,0.21503670323220203,0.5492147026980116,0.9735170913295967,0.7886653823170251,0.9923500785792798,0.2144094710471276,0.7774754836608222,0.5268778346384717,0.9089269048750446,0.7048905912044643,0.495252744331244,0.1,0.2550784784300654,0.5137453433739979,0.8455918002818453,0.44251126985351313,0.8367015134393799,0.48574097383856246,1.0572451353592036,0.7167347533584815,0.43221874854800085,0.4983034385780349,0.30482502865176236,0.6735110277965328,0.3087316948780716,-0.3703336747236051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,EventType.StrikeLooking,0.27189906088998606,True,0.23852916622014586,0.2543397217946657,0.177796163378656,0.8716023805191635,,,,,,,,,,,,,,,,0.89378563518355,0.14569048308744148,0.5506165388243167,0.5510823897441568,0.8470052300033166,0.7573296521561019,0.4466171764661544,0.7877182336858708,0.0281922504175367,0.721399123892341,0.7423369376397517,0.7886849409940524,0.1,0.9600814328743839,0.011205197722309546,0.9784171643555766,0.06648003013741022,0.207902773407467,0.4807841028840638,0.23690455524836485,0.37850107593884097,0.8672787557686772,0.6084817820913049,0.007173689123284532,0.5287515061488359,0.9690900438516448,-0.24677519676138682,0.3861824407314889,0.21503670323220203,0.5492147026980116,0.9735170913295967,0.7886653823170251,0.9923500785792798,0.2144094710471276,0.7774754836608222,0.5268778346384717,0.9089269048750446,0.7048905912044643,0.495252744331244,0.1,0.2550784784300654,0.5137453433739979,0.8455918002818453,0.44251126985351313,0.8367015134393799,0.48574097383856246,1.0572451353592036,0.7167347533584815,0.43221874854800085,0.4983034385780349,0.30482502865176236,0.6735110277965328,0.3087316948780716,-0.3703336747236051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EventType.HomeRun,0.746821076450443,False,0.7425601273387705,0.24448338133828362,0.41414116814026336,0.17587929665221957,0.8755590501965278,0.5028670195484717,0.6234648223109236,0.9979406447846562,0.40092385106374073,0.6032151001126722,,,,,0.8547825990786606,,,,,0.89378563518355,0.14569048308744148,0.5506165388243167,0.5510823897441568,0.8470052300033166,0.7573296521561019,0.4466171764661544,0.7877182336858708,0.0281922504175367,0.721399123892341,0.7423369376397517,0.7886849409940524,0.1,0.9600814328743839,0.011205197722309546,0.9784171643555766,0.06648003013741022,0.207902773407467,0.4807841028840638,0.23690455524836485,0.37850107593884097,0.8672787557686772,0.6084817820913049,0.007173689123284532,0.5287515061488359,0.9690900438516448,-0.24677519676138682,0.3861824407314889,0.21503670323220203,0.5492147026980116,0.9735170913295967,0.7886653823170251,0.9923500785792798,0.2144094710471276,0.7774754836608222,0.5268778346384717,0.9089269048750446,0.7048905912044643,0.495252744331244,0.1,0.2550784784300654,0.5137453433739979,0.8455918002818453,0.44251126985351313,0.8367015134393799,0.48574097383856246,1.0572451353592036,0.7167347533584815,0.43221874854800085,0.4983034385780349,0.30482502865176236,0.6735110277965328,0.3087316948780716,-0.3703336747236051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,EventType.Ball,0.3022646743224007,False,0.6038109341377187,,0.708396957567905,0.8122215122702039,,,,,,,,,,,,,,,,0.5768202116084317,0.43259288935434087,0.285112823252986,0.31363451150100147,0.49482333314446586,0.6101795226140171,0.8300988042888012,0.353358584507762,0.5027948085184079,0.5068719276915193,0.35257874828596186,0.881171171292222,0.1,0.6463510999460855,0.6135311508725945,0.2693062408770308,0.35160309257461875,0.055088647134970525,0.8504754964379386,0.549423971864284,0.9626574162204037,0.447529806177185,0.5805860625634517,0.2617827153593492,0.8834190725041278,0.6276731840299616,0.5264491965731523,0.7162480440298888,0.19727193136056664,0.958745532051551,0.5925327913144562,0.09629100300450899,0.9492283445258289,0.11051475625733098,0.5283110628170276,0.2133444165377083,0.9733774999872775,0.2078760836843958,0.010582662503942464,0.1,0.6064143043949415,0.5158441035668562,0.7444270409785558,0.4031858880402084,0.9791969224047494,0.19368763829398938,0.1856627514028073,0.9027080334759618,0.0425468396651516,0.8833754136414085,0.4911581973942909,0.5448016025479687,0.8462392572672885,0.6161128343587264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,EventType.HomeRun,0.2900430947150905,True,0.30524465470438944,,0.36486975525048626,0.46166722727368126,0.30445938124979244,0.8654909014258876,0.734368225381369,0.17814127167702098,0.2557006883743491,0.7290086552080406,0.41006750761793054,0.2839420563148318,,,,,,,,0.5768202116084317,0.43259288935434087,0.285112823252986,0.31363451150100147,0.49482333314446586,0.6101795226140171,0.8300988042888012,0.353358584507762,0.5027948085184079,0.5068719276915193,0.35257874828596186,0.881171171292222,0.1,0.6463510999460855,0.6135311508725945,0.2693062408770308,0.35160309257461875,0.055088647134970525,0.8504754964379386,0.549423971864284,0.9626574162204037,0.447529806177185,0.5805860625634517,0.2617827153593492,0.8834190725041278,0.6276731840299616,0.5264491965731523,0.7162480440298888,0.19727193136056664,0.958745532051551,0.5925327913144562,0.09629100300450899,0.9492283445258289,0.11051475625733098,0.5283110628170276,0.2133444165377083,0.9733774999872775,0.2078760836843958,0.010582662503942464,0.1,0.6064143043949415,0.5158441035668562,0.7444270409785558,0.4031858880402084,0.9791969224047494,0.19368763829398938,0.1856627514028073,0.9027080334759618,0.0425468396651516,0.8833754136414085,0.4911581973942909,0.5448016025479687,0.8462392572672885,0.6161128343587264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,EventType.HomeRun,0.3055551303277513,True,0.8361870182439641,0.16565581516011507,0.04645847883691445,0.08437826674543292,0.5614984714251363,0.8655469751460951,0.7200418610566526,0.35435166929924766,,,,,,,0.8040993433594861,0.24282034173402378,,,,0.6091386669088504,0.3739060475295139,0.40176680774118084,0.27102444197930126,0.5191233567940653,1.0672500101244122,0.5883782561003875,0.7338187088334532,0.9273473776510405,0.5854020876583553,0.7925842496207128,0.6902367244630986,0.1,0.3409146866161894,0.7262316416258991,0.8774224585846124,0.947483977293706,0.7921548899506503,0.5207261727386305,0.20117163115518916,0.4747665687964204,0.9506298642424956,0.4717946664769885,0.9337371606287782,0.17781502906147062,0.013425186543719825,-0.10836260587114838,0.7162480440298888,0.19727193136056664,0.958745532051551,0.5925327913144562,0.09629100300450899,0.9492283445258289,0.11051475625733098,0.5283110628170276,0.2133444165377083,0.9733774999872775,0.2078760836843958,0.010582662503942464,0.1,0.6064143043949415,0.5158441035668562,0.7444270409785558,0.4031858880402084,0.9791969224047494,0.19368763829398938,0.1856627514028073,0.9027080334759618,0.0425468396651516,0.8833754136414085,0.4911581973942909,0.5448016025479687,0.8462392572672885,0.6161128343587264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,EventType.HomeRun,0.6646962995677497,True,0.4259121732923683,0.4827282342258661,0.3552069837137304,0.03379048866308243,0.2697689641629144,0.490820787875484,0.5999271428394568,0.2408755838856298,0.3410341681165434,0.3524962891115231,0.6157854277829105,0.5904854911846231,,,,,,,,0.36354798487409584,0.7537737983092544,0.6331840815526989,0.40080643798922216,0.8877214808795161,0.4734327071266761,0.8090653184187909,0.20227389277768054,0.7597490175468623,0.8982900399887376,0.4660322375189851,0.7312212851637222,0.1,0.4170904732305447,0.4722519687718245,0.5211059559456686,0.04751765060212687,0.07448060547951729,0.8789348594052959,0.20462126368997507,0.7305009347487762,0.4485649518048295,0.3162549028588357,0.8272616273113237,0.10248119805293276,0.06224168282918896,-0.031841012688195974,0.7162480440298888,0.19727193136056664,0.958745532051551,0.5925327913144562,0.09629100300450899,0.9492283445258289,0.11051475625733098,0.5283110628170276,0.2133444165377083,0.9733774999872775,0.2078760836843958,0.010582662503942464,0.1,0.6064143043949415,0.5158441035668562,0.7444270409785558,0.4031858880402084,0.9791969224047494,0.19368763829398938,0.1856627514028073,0.9027080334759618,0.0425468396651516,0.8833754136414085,0.4911581973942909,0.5448016025479687,0.8462392572672885,0.6161128343587264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,EventType.HomeRun,0.8593048610743808,True,0.5557336984930885,0.864259783644207,0.39521148342473467,0.21375078653493262,0.34556949692316596,0.7430346985217102,0.40088421147187403,0.2838900760884102,0.45630661904176506,0.13926841311787208,0.4196064752120865,0.10541395199834791,,,,,,,,1.0828663599772537,0.6534388599244163,0.5614803308277474,0.4785220449973298,0.21000000000000002,0.9587153982478125,0.8408691986510661,0.4549267458421254,0.21416726597021574,0.01,0.05064933879003186,1.1253092612059545,0.1,0.01,0.5786431265265233,0.2903916890712865,0.01,0.2989918614186348,0.37317458922704544,0.519960921752304,0.03303565108237494,0.8633471175620775,0.7538937392592207,0.23608893592794422,0.9951836440509134,0.9263193059094617,-0.40209584116596697,0.7162480440298888,0.19727193136056664,0.958745532051551,0.5925327913144562,0.09629100300450899,0.9492283445258289,0.11051475625733098,0.5283110628170276,0.2133444165377083,0.9733774999872775,0.2078760836843958,0.010582662503942464,0.1,0.6064143043949415,0.5158441035668562,0.7444270409785558,0.4031858880402084,0.9791969224047494,0.19368763829398938,0.1856627514028073,0.9027080334759618,0.0425468396651516,0.8833754136414085,0.4911581973942909,0.5448016025479687,0.8462392572672885,0.6161128343587264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,EventType.Foul,0.17135070439563416,True,0.4537825213574467,0.7864593968915614,0.04452213184393128,0.12823461130608815,0.9115878059164044,0.07743607198897728,,,,,,,,,,,,,,0.022899734928636617,0.07358311492959557,0.8685834153182415,0.2556194728186736,0.42416500474315133,0.40862515824467915,0.1315285142743734,0.16214661332587754,0.03432083170797684,0.9406219504448483,0.5053867666950069,0.44489216817933386,0.1,0.7794037614755296,0.3951353673890121,0.27835975861366546,0.3570567933147788,0.5033978120489166,0.8797780122911554,0.950373717896678,0.7925778443840852,0.7856851744279933,0.5063305508122689,0.8775727339470321,0.9770390517832208,0.28134993589106916,-0.5422763493088951,0.7162480440298888,0.19727193136056664,0.958745532051551,0.5925327913144562,0.09629100300450899,0.9492283445258289,0.11051475625733098,0.5283110628170276,0.2133444165377083,0.9733774999872775,0.2078760836843958,0.010582662503942464,0.1,0.6064143043949415,0.5158441035668562,0.7444270409785558,0.4031858880402084,0.9791969224047494,0.19368763829398938,0.1856627514028073,0.9027080334759618,0.0425468396651516,0.8833754136414085,0.4911581973942909,0.5448016025479687,0.8462392572672885,0.6161128343587264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
