,Unnamed: 0,event_type,weather_roll,has_runner,mystery_roll,should_try_to_steal_roll,pitch_in_strike_zone_roll,batter_swings_roll,contact_roll,foul_roll,unknown_roll_1,hit_or_out_roll,unknown_roll_2,unknown_roll_3,unknown_roll_4,unknown_roll_5,unknown_roll_6,unknown_roll_7,fielder_selection_roll,unknown_after_fielder_selection_roll,bird_number_roll,bird_message_roll,thief,batter.thwackability,batter.moxie,batter.divinity,batter.musclitude,batter.patheticism,batter.buoyancy,batter.baseThirst,batter.laserlikeness,batter.groundFriction,batter.continuation,batter.indulgence,batter.martyrdom,batter.tragicness,batter.shakespearianism,batter.suppression,batter.unthwackability,batter.coldness,batter.overpowerment,batter.ruthlessness,batter.omniscience,batter.tenaciousness,batter.watchfulness,batter.anticapitalism,batter.chasiness,batter.pressurization,batter.cinnamon,batter.vibes,pitcher.thwackability,pitcher.moxie,pitcher.divinity,pitcher.musclitude,pitcher.patheticism,pitcher.buoyancy,pitcher.baseThirst,pitcher.laserlikeness,pitcher.groundFriction,pitcher.continuation,pitcher.indulgence,pitcher.martyrdom,pitcher.tragicness,pitcher.shakespearianism,pitcher.suppression,pitcher.unthwackability,pitcher.coldness,pitcher.overpowerment,pitcher.ruthlessness,pitcher.omniscience,pitcher.tenaciousness,pitcher.watchfulness,pitcher.anticapitalism,pitcher.chasiness,pitcher.pressurization,pitcher.cinnamon,pitcher.vibes,batter,pitcher,thief.thwackability,thief.moxie,thief.divinity,thief.musclitude,thief.patheticism,thief.buoyancy,thief.baseThirst,thief.laserlikeness,thief.groundFriction,thief.continuation,thief.indulgence,thief.martyrdom,thief.tragicness,thief.shakespearianism,thief.suppression,thief.unthwackability,thief.coldness,thief.overpowerment,thief.ruthlessness,thief.omniscience,thief.tenaciousness,thief.watchfulness,thief.anticapitalism,thief.chasiness,thief.pressurization,thief.cinnamon,thief.vibes
3,3,EventType.Ball,0.1719388657875897,False,0.511683585913189,,0.7311388355776671,0.7263825536400779,,,,,,,,,,,,,,,,0.7022587362242676,0.5360370270065851,0.8088506413301586,0.5447317125995685,0.1144272504177821,0.885056788414295,0.5019813176944115,0.4382731998927134,0.6543010879309619,0.7703597631858468,0.753369168572978,0.4202046908759163,0.1,0.3116662836676329,0.1379525731561217,0.0186862239227707,0.6372037551038263,0.3784491751376859,0.2081516937847605,0.1416787439634557,0.404989655422564,0.1750232498854644,0.7347059210128348,0.210872250201733,0.7609978072552137,0.6277302593031564,-0.4138157906156197,0.0954942182648388,0.9481772935890836,0.6466601264001044,0.3294607416748534,0.919582617799636,0.904207509135099,0.1108326987822363,0.6248356573358633,0.4759993527293666,0.5688132605062097,0.0130983493813003,0.3847666905631948,0.1,0.1868339376895114,0.1269079777394932,0.7783984881467316,0.6325748296367963,0.6240859001142638,0.8999049478812817,0.9843276023178912,0.6602431928130081,0.0262161885901093,0.5161477530232157,0.937514120052508,0.3856185779831285,0.06544767831993,-0.2728520139073633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,EventType.StrikeSwinging,0.9034763431839824,False,0.5826361636602742,,0.9873483845430616,0.2892689872110545,0.9753346812804486,,,,,,,,,,,,,,,0.722698376772128,0.8417152961778871,0.9738658178668492,0.5401514342277669,0.5882915135341877,0.2178173266001308,0.8854592162924868,0.9397955117629953,0.500792928987684,0.2661696917021845,0.0883362081605478,0.2409011642832459,0.8111166826343146,0.3649201017796846,0.7813656752876832,0.6196979339151729,0.305825125851185,0.0001512546578643,0.7194623902577131,0.202361410445401,0.5426311497776553,0.9449966292868708,0.914585657943178,0.5995334995424131,0.874510487786416,0.620573979091436,-0.1269682543474926,0.0954942182648388,0.9481772935890836,0.6466601264001044,0.3294607416748534,0.919582617799636,0.904207509135099,0.1108326987822363,0.6248356573358633,0.4759993527293666,0.5688132605062097,0.0130983493813003,0.3847666905631948,0.1,0.1868339376895114,0.1269079777394932,0.7783984881467316,0.6325748296367963,0.6240859001142638,0.8999049478812817,0.9843276023178912,0.6602431928130081,0.0262161885901093,0.5161477530232157,0.937514120052508,0.3856185779831285,0.06544767831993,-0.2728520139073633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,EventType.Ball,0.6035522414026628,False,0.7931321450294757,,0.7993281619424037,0.3860414500703601,,,,,,,,,,,,,,,,0.722698376772128,0.8417152961778871,0.9738658178668492,0.5401514342277669,0.5882915135341877,0.2178173266001308,0.8854592162924868,0.9397955117629953,0.500792928987684,0.2661696917021845,0.0883362081605478,0.2409011642832459,0.8111166826343146,0.3649201017796846,0.7813656752876832,0.6196979339151729,0.305825125851185,0.0001512546578643,0.7194623902577131,0.202361410445401,0.5426311497776553,0.9449966292868708,0.914585657943178,0.5995334995424131,0.874510487786416,0.620573979091436,-0.1269682543474926,0.0954942182648388,0.9481772935890836,0.6466601264001044,0.3294607416748534,0.919582617799636,0.904207509135099,0.1108326987822363,0.6248356573358633,0.4759993527293666,0.5688132605062097,0.0130983493813003,0.3847666905631948,0.1,0.1868339376895114,0.1269079777394932,0.7783984881467316,0.6325748296367963,0.6240859001142638,0.8999049478812817,0.9843276023178912,0.6602431928130081,0.0262161885901093,0.5161477530232157,0.937514120052508,0.3856185779831285,0.06544767831993,-0.2728520139073633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,EventType.Ball,0.4103439077583826,False,0.0422598755630228,,0.767794448569219,0.9089315118917304,,,,,,,,,,,,,,,,0.722698376772128,0.8417152961778871,0.9738658178668492,0.5401514342277669,0.5882915135341877,0.2178173266001308,0.8854592162924868,0.9397955117629953,0.500792928987684,0.2661696917021845,0.0883362081605478,0.2409011642832459,0.8111166826343146,0.3649201017796846,0.7813656752876832,0.6196979339151729,0.305825125851185,0.0001512546578643,0.7194623902577131,0.202361410445401,0.5426311497776553,0.9449966292868708,0.914585657943178,0.5995334995424131,0.874510487786416,0.620573979091436,-0.1269682543474926,0.0954942182648388,0.9481772935890836,0.6466601264001044,0.3294607416748534,0.919582617799636,0.904207509135099,0.1108326987822363,0.6248356573358633,0.4759993527293666,0.5688132605062097,0.0130983493813003,0.3847666905631948,0.1,0.1868339376895114,0.1269079777394932,0.7783984881467316,0.6325748296367963,0.6240859001142638,0.8999049478812817,0.9843276023178912,0.6602431928130081,0.0262161885901093,0.5161477530232157,0.937514120052508,0.3856185779831285,0.06544767831993,-0.2728520139073633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,EventType.Ball,0.2248399358624837,False,0.4394714392874144,,0.7472678377580031,0.4089986865756583,,,,,,,,,,,,,,,,0.722698376772128,0.8417152961778871,0.9738658178668492,0.5401514342277669,0.5882915135341877,0.2178173266001308,0.8854592162924868,0.9397955117629953,0.500792928987684,0.2661696917021845,0.0883362081605478,0.2409011642832459,0.8111166826343146,0.3649201017796846,0.7813656752876832,0.6196979339151729,0.305825125851185,0.0001512546578643,0.7194623902577131,0.202361410445401,0.5426311497776553,0.9449966292868708,0.914585657943178,0.5995334995424131,0.874510487786416,0.620573979091436,-0.1269682543474926,0.0954942182648388,0.9481772935890836,0.6466601264001044,0.3294607416748534,0.919582617799636,0.904207509135099,0.1108326987822363,0.6248356573358633,0.4759993527293666,0.5688132605062097,0.0130983493813003,0.3847666905631948,0.1,0.1868339376895114,0.1269079777394932,0.7783984881467316,0.6325748296367963,0.6240859001142638,0.8999049478812817,0.9843276023178912,0.6602431928130081,0.0262161885901093,0.5161477530232157,0.937514120052508,0.3856185779831285,0.06544767831993,-0.2728520139073633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,EventType.StrikeSwinging,0.6334554654587383,True,0.6506864934063568,0.6586699095347928,0.8524106537122833,0.2862872164171639,0.8660067686857709,,,,,,,,,,,,,,,0.5048007715576763,0.8261238007624416,0.240079216287506,0.232329706400485,0.9794611915455498,0.9183667079592988,0.36440227311705,0.1267479501300297,0.923415251715068,0.997490191507714,0.1157282658953346,0.3680403977405695,0.1,0.6060489071593127,0.19291475376551,0.270367257039239,0.5653577916953503,0.3420923362113508,0.902749911043266,0.6116347518355054,0.1885249967701228,0.2146335365930241,0.2956562400817575,0.7051626191381397,0.5024576781229815,0.8338978092930149,-0.1683688062689809,0.0954942182648388,0.9481772935890836,0.6466601264001044,0.3294607416748534,0.919582617799636,0.904207509135099,0.1108326987822363,0.6248356573358633,0.4759993527293666,0.5688132605062097,0.0130983493813003,0.3847666905631948,0.1,0.1868339376895114,0.1269079777394932,0.7783984881467316,0.6325748296367963,0.6240859001142638,0.8999049478812817,0.9843276023178912,0.6602431928130081,0.0262161885901093,0.5161477530232157,0.937514120052508,0.3856185779831285,0.06544767831993,-0.2728520139073633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,EventType.FieldersChoice,0.6586636112095916,True,0.0293752942576046,0.6202301019152394,0.9567909751536487,0.3585096830217507,0.1149164076713611,0.9134043080132204,0.3634669378873598,0.9096801710409236,0.8857713151616446,0.4901756604031662,0.1983904454177067,0.7888589530614312,0.472040237823897,,,,,,,0.9167812477441616,0.3768693955606532,0.8493729027548766,0.2099779307814222,0.3044526135807974,0.1667043281647504,0.3666392975501269,0.7796501045317563,0.4058608997966531,0.3559305646618476,0.8894843902910299,0.5027131999385519,0.1,0.0866106079194082,0.5387884301349108,0.6688454397866406,0.1542482402505596,0.6764750636222774,0.5904268163573891,0.2640916675169482,0.1769908638427426,0.3256422567823882,0.5136049973838042,0.1406588499167493,0.4862968749440175,0.342565865316017,-0.0718655048140016,0.0954942182648388,0.9481772935890836,0.6466601264001044,0.3294607416748534,0.919582617799636,0.904207509135099,0.1108326987822363,0.6248356573358633,0.4759993527293666,0.5688132605062097,0.0130983493813003,0.3847666905631948,0.1,0.1868339376895114,0.1269079777394932,0.7783984881467316,0.6325748296367963,0.6240859001142638,0.8999049478812817,0.9843276023178912,0.6602431928130081,0.0262161885901093,0.5161477530232157,0.937514120052508,0.3856185779831285,0.06544767831993,-0.2728520139073633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,EventType.StrikeSwinging,0.6348227058146534,False,0.2412157738321334,,0.8325597394159678,0.1817109316582195,0.834678313715348,,,,,,,,,,,,,,,0.9418902649709118,0.0980656428254216,0.6837798687796137,0.7114841938990382,0.4048518531703051,0.3078306463032667,0.2420612669630861,0.0160977203131864,0.2765964861725563,0.8792987632485005,0.1657905046155536,0.1334617032014775,0.1,0.6562898730223858,0.6131567677744476,0.4597927635798813,0.9288944027200594,0.1520256691503045,0.1594593394349257,0.0010196037976704,0.8930719849609547,0.6202457520022422,0.8872990130003819,0.5852097162243755,0.1645472482372625,0.4915059611966617,0.2204405786150737,0.9362488763449588,0.3216119350820285,0.2110306676430349,0.2198375892262973,0.8839031364880394,0.3848580981254852,0.0018194321129088,0.3355436581608968,0.5171082997404857,0.2962551835517792,0.6382917672474768,0.245779971758425,0.1,0.7950879672158303,0.82762143573018,0.5640917170229244,0.3169548249838488,0.3152537658659048,0.4284982836502332,0.505687938287068,0.6119205103205829,0.426619820713167,0.7522133816988852,0.6305989086563561,0.0596497574495376,0.9570462723485168,0.9570462723485168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,EventType.Ball,0.0519625892514699,False,0.2879944578544897,,0.5280011612273743,0.6007193733708893,,,,,,,,,,,,,,,,0.5256652565574154,0.1065039064728721,0.4576133382293201,0.869434439094253,0.8210659026286053,0.3716888230640884,0.7949127286710809,0.6624466468634385,0.6375225493063692,0.0636891252058595,0.7776732986904085,0.7855625293500272,0.1,0.9338633001894056,0.105354304187232,0.3754420978754529,0.2902845371075797,0.3906915552373027,0.306246683093285,0.2680116216616826,0.3541516439653223,0.3412286385119776,0.5699560177086616,0.4309635948768822,0.9635510486845484,0.4262511313662047,0.4262511313662047,0.9362488763449588,0.3216119350820285,0.2110306676430349,0.2198375892262973,0.8839031364880394,0.3848580981254852,0.0018194321129088,0.3355436581608968,0.5171082997404857,0.2962551835517792,0.6382917672474768,0.245779971758425,0.1,0.7950879672158303,0.82762143573018,0.5640917170229244,0.3169548249838488,0.3152537658659048,0.4284982836502332,0.505687938287068,0.6119205103205829,0.426619820713167,0.7522133816988852,0.6305989086563561,0.0596497574495376,0.9570462723485168,0.9570462723485168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,EventType.Ball,0.1513031917583149,False,0.9737300473507317,,0.8884499354981779,0.5881806074833595,,,,,,,,,,,,,,,,0.5256652565574154,0.1065039064728721,0.4576133382293201,0.869434439094253,0.8210659026286053,0.3716888230640884,0.7949127286710809,0.6624466468634385,0.6375225493063692,0.0636891252058595,0.7776732986904085,0.7855625293500272,0.1,0.9338633001894056,0.105354304187232,0.3754420978754529,0.2902845371075797,0.3906915552373027,0.306246683093285,0.2680116216616826,0.3541516439653223,0.3412286385119776,0.5699560177086616,0.4309635948768822,0.9635510486845484,0.4262511313662047,0.4262511313662047,0.9362488763449588,0.3216119350820285,0.2110306676430349,0.2198375892262973,0.8839031364880394,0.3848580981254852,0.0018194321129088,0.3355436581608968,0.5171082997404857,0.2962551835517792,0.6382917672474768,0.245779971758425,0.1,0.7950879672158303,0.82762143573018,0.5640917170229244,0.3169548249838488,0.3152537658659048,0.4284982836502332,0.505687938287068,0.6119205103205829,0.426619820713167,0.7522133816988852,0.6305989086563561,0.0596497574495376,0.9570462723485168,0.9570462723485168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
