"num_events","num_tunnels","coldness"
1201.00000000000000000000,3,0.0
4985.99999999999999999070,6,0.1
17574.99999999999999992439,21,0.2
16565.99999999999999994913,19,0.3
10661.99999999999999995943,13,0.4
21101.99999999999999993031,28,0.5
24931.99999999999999988640,28,0.6
22006.99999999999999989567,26,0.7
24854.99999999999999989586,27,0.8
59510.99999999999999975672,55,0.9
29229.99999999999999989931,43,1.0
36169.99999999999999986793,28,1.1
31874.99999999999999983783,32,1.2
8977.99999999999999994365,8,1.3
14791.99999999999999996355,10,1.4
4228.99999999999999996898,7,1.5
1509.99999999999999999064,0,1.6
6884.99999999999999996119,11,1.7
605.99999999999999999717,1,1.9
1908.99999999999999999423,0,2.0
1157.00000000000000000000,0,NULL
