,ID,Name,Day,X,Y,edensity
30,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,58,-1.0,-1.0,302.1619108465975
31,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,59,-1.0,-1.0,314.29621565488105
32,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,60,-1.0,-1.0,332.74980342235745
33,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,61,-0.9336364346804806,-0.9343845362824896,333.46073486876605
34,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,62,-0.986248025269775,-1.0,333.7667221847338
35,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,63,-1.0,-1.0,334.7667221847338
36,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,64,-1.0,-1.0,335.8667221847338
37,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,65,-1.0,-1.0,334.8667221847338
38,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,66,-1.0,-1.0,336.8667221847338
39,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,67,-1.0,-1.0,337.8667221847338
40,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,68,-0.9343018738881036,-0.9343054312649252,352.5667221847338
41,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,69,-1.0,-1.0,354.5667221847338
42,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,70,-1.0,-1.0,358.5667221847338
43,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,71,-0.9788934954841584,-1.0,349.96672218473384
44,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,72,-1.0,-1.0,350.08754862277294
45,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,73,-1.0,-1.0,352.2231336891007
46,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,74,-1.0,-1.0,352.1616102742462
47,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,75,-1.0,-1.0,354.1616102742462
48,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,76,-1.0,-1.0,369.1616102742462
49,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,77,-1.0,-1.0,373.1616102742462
50,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,78,-1.0,-1.0,391.5283899949029
51,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,79,-0.9351384949292864,-0.9351384949292864,414.34765365174894
52,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,80,-1.0,-1.0,413.5989926532769
53,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,81,-1.0,-1.0,413.3267436248866
54,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,82,-1.0,-1.0,430.0741962279251
55,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,83,-1.0,-1.0,430.52146836254474
56,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,84,-1.0,-1.0,430.52146836254474
57,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,85,-1.0,-1.0,430.52146836254474
58,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,86,-1.0,-1.0,430.52146836254474
59,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,87,-1.0,-1.0,430.52146836254474
60,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,88,-1.0,-1.0,430.52146836254474
61,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,89,-1.0,-1.0,430.52146836254474
62,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,90,-1.0,-1.0,430.52146836254474
63,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,91,-1.0,-1.0,430.52146836254474
64,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,92,-1.0,-1.0,430.52146836254474
65,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,93,-1.0,-1.0,430.52146836254474
96,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,58,-0.9480678986788426,-0.9479115610490806,1320.8071187813212
97,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,59,-1.0,-1.0,1322.3154743635605
98,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,60,-1.0,-1.0,1334.8154743635605
99,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,61,-1.0,-1.0,1351.3154743635605
100,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,62,-0.9487093685874436,-0.9487093685874436,1354.3154743635605
101,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,63,-1.0,-1.0,1373.204671684163
102,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,64,-1.0,-1.0,1391.4049134283412
103,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,65,-1.0,-1.0,1406.9842338278363
104,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,66,-1.0,-1.0,1422.9842338278363
105,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,67,-1.0,-1.0,1420.9842338278363
106,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,68,-1.0,-1.0,1420.9842338278363
107,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,69,-1.0,-1.0,1423.9842338278363
108,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,70,-1.0,-1.0,1435.9842338278363
109,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,71,-1.0,-1.0,1453.1434860644101
110,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,72,-1.0,-1.0,1453.1434860644101
111,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,73,-1.0,-1.0,1455.1434860644101
112,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,74,-1.0,-1.0,1468.1434860644101
113,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,75,-0.9502924224819688,-0.9502924224819688,1487.1434860644101
114,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,76,-0.9891047096300216,-0.872905720203893,1485.1434860644101
115,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,77,-1.0,-0.9654063378071944,1486.1434860644101
116,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,78,-1.0,-1.0,1496.5576124261738
117,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,79,-1.0,-1.0,1513.2715820434828
118,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,80,-1.0,-1.0,1514.3679602713023
119,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,81,-1.0,-1.0,1517.1729022155394
120,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,82,-1.0,-1.0,1517.9586587522153
121,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,83,-1.0,-1.0,1523.714285482679
122,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,84,-1.0,-1.0,1523.714285482679
123,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,85,-1.0,-1.0,1523.714285482679
124,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,86,-1.0,-1.0,1523.714285482679
125,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,87,-1.0,-1.0,1523.714285482679
126,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,88,-1.0,-1.0,1523.714285482679
127,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,89,-1.0,-1.0,1523.714285482679
128,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,90,-1.0,-1.0,1523.714285482679
129,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,91,-1.0,-1.0,1523.714285482679
130,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,92,-1.0,-1.0,1523.714285482679
131,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,93,-1.0,-1.0,1523.714285482679
162,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,58,0.7172177331266186,-0.6198881745604611,-680.5733042591482
163,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,59,0.652992474867141,-0.5441259708565005,-662.5733042591482
164,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,60,0.5988093903859578,-0.4585678486849349,-665.089145847945
165,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,61,0.5394380511106102,-0.3775202965647232,-664.9532143058896
166,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,62,0.449779127240088,-0.3569665196684965,-649.6091044839129
167,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,63,0.3842633621344173,-0.2820984955372368,-653.2847798279497
168,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,64,0.3068349563548201,-0.2238444601120212,-654.1308703834175
169,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,65,0.2452428889774782,-0.14450322447075,-656.1616048630974
170,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,66,0.1592543849789286,-0.1048808688049712,-651.1616048630974
171,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,67,0.0683593421525435,-0.0942995075610366,-634.1616048630974
172,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,68,0.0058296756059707,-0.0155580522438401,-634.4616048630975
173,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,69,-0.0719513753191498,-0.0567803663136701,-622.4616048630975
174,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,70,0.0318934815117549,-0.0783605624662712,-622.4616048630975
175,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,71,0.1090449947775859,-0.1426729689443079,-599.4616048630975
176,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,72,0.1891962250564939,-0.2041149686104577,-585.4616048630975
177,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,73,0.2680677444863995,-0.2669768063187864,-561.4616048630975
178,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,74,0.3534132025715014,-0.3228313328100255,-560.7616048630975
179,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,75,0.4322808770443215,-0.3859249357381821,-564.6116751737734
180,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,76,0.3713214747148999,-0.30614434771082,-565.932905915204
181,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,77,0.4501355893594473,-0.3692957161792549,-566.4484852191042
182,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,78,0.5286336577829799,-0.4328569896109443,-570.9523327891941
183,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,79,0.6072117778959348,-0.4964494693120754,-554.9233015096313
184,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,80,0.6814038411960431,-0.5642385336248761,-555.6103418771379
185,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,81,0.5944660444575828,-0.5888251248401738,-540.6103418771379
186,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,82,0.6664637078842224,-0.6585608825582014,-529.6103418771379
187,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,83,0.7451933722877649,-0.7222508254433528,-531.6103418771379
188,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,84,0.823779094133391,-0.7861719145095043,-534.1023151419613
189,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,85,0.9021245590714136,-0.8504046946309529,-525.0816760390251
190,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,86,0.9802597242255456,-0.9149181089062036,-510.8443003944378
191,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,87,1.0,-0.9795698931106824,-498.59214986797565
192,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,88,1.0,-1.0,-495.19986039570836
