,Team,Day,X,Y,corrected_speed,speed,edensity
30,Crabs,58,-1.0,-1.0,,1.4142135623730951,299.205427785912
31,Crabs,59,-1.0,-1.0,,1.4142135623730951,302.1619108465975
32,Crabs,60,-1.0,-1.0,,1.4142135623730951,314.29621565488105
33,Crabs,61,-0.9336364346804806,-0.9343845362824896,0.09997976170320261,1.3208904018906045,332.74980342235745
34,Crabs,62,-0.986248025269775,-1.0,0.0801005055006415,1.4045231102935012,333.46073486876605
35,Crabs,63,-1.0,-1.0,,1.4142135623730951,333.7667221847338
36,Crabs,64,-1.0,-1.0,,1.4142135623730951,334.7667221847338
37,Crabs,65,-1.0,-1.0,,1.4142135623730951,335.8667221847338
38,Crabs,66,-1.0,-1.0,,1.4142135623730951,334.8667221847338
39,Crabs,67,-1.0,-1.0,,1.4142135623730951,336.8667221847338
40,Crabs,68,-0.9343018738881036,-0.9343054312649252,0.09966600000241485,1.3213048968508212,337.8667221847338
41,Crabs,69,-1.0,-1.0,,1.4142135623730951,352.5667221847338
42,Crabs,70,-1.0,-1.0,,1.4142135623730951,354.5667221847338
43,Crabs,71,-0.9788934954841584,-1.0,0.028277838959536294,1.3993685988692166,358.5667221847338
44,Crabs,72,-1.0,-1.0,,1.4142135623730951,349.96672218473384
45,Crabs,73,-1.0,-1.0,,1.4142135623730951,350.08754862277294
46,Crabs,74,-1.0,-1.0,,1.4142135623730951,352.2231336891007
47,Crabs,75,-1.0,-1.0,,1.4142135623730951,352.1616102742462
48,Crabs,76,-1.0,-1.0,,1.4142135623730951,354.1616102742462
49,Crabs,77,-1.0,-1.0,,1.4142135623730951,369.1616102742462
50,Crabs,78,-1.0,-1.0,,1.4142135623730951,373.1616102742462
51,Crabs,79,-0.9351384949292864,-0.9351384949292864,0.09955858794683257,1.3224855422261605,391.5283899949029
82,Dale,58,-0.9480678986788426,-0.9479115610490806,,1.3406599375217494,1301.0187049509607
83,Dale,59,-1.0,-1.0,,1.4142135623730951,1320.8071187813212
84,Dale,60,-1.0,-1.0,,1.4142135623730951,1322.3154743635605
85,Dale,61,-1.0,-1.0,,1.4142135623730951,1334.8154743635605
86,Dale,62,-0.9487093685874436,-0.9487093685874436,0.09956221605358798,1.3416776558067782,1351.3154743635605
87,Dale,63,-1.0,-1.0,,1.4142135623730951,1354.3154743635605
88,Dale,64,-1.0,-1.0,,1.4142135623730951,1373.204671684163
89,Dale,65,-1.0,-1.0,,1.4142135623730951,1391.4049134283412
90,Dale,66,-1.0,-1.0,,1.4142135623730951,1406.9842338278363
91,Dale,67,-1.0,-1.0,,1.4142135623730951,1422.9842338278363
92,Dale,68,-1.0,-1.0,,1.4142135623730951,1420.9842338278363
93,Dale,69,-1.0,-1.0,,1.4142135623730951,1420.9842338278363
94,Dale,70,-1.0,-1.0,,1.4142135623730951,1423.9842338278363
95,Dale,71,-1.0,-1.0,,1.4142135623730951,1435.9842338278363
96,Dale,72,-1.0,-1.0,,1.4142135623730951,1453.1434860644101
97,Dale,73,-1.0,-1.0,,1.4142135623730951,1453.1434860644101
98,Dale,74,-1.0,-1.0,,1.4142135623730951,1455.1434860644101
99,Dale,75,-0.9502924224819688,-0.9502924224819688,0.09965999999999992,1.3439164320943833,1468.1434860644101
100,Dale,76,-0.9891047096300216,-0.872905720203893,0.11300051894527534,1.319201471715737,1487.1434860644101
101,Dale,77,-1.0,-0.9654063378071944,0.06373589641088481,1.3899674086388856,1485.1434860644101
102,Dale,78,-1.0,-1.0,,1.4142135623730951,1486.1434860644101
103,Dale,79,-1.0,-1.0,,1.4142135623730951,1496.5576124261738
134,Firefighters,58,0.7172177331266186,-0.6198881745604611,,0.9479781778454535,
135,Firefighters,59,0.652992474867141,-0.5441259708565005,,0.849983673015925,
136,Firefighters,60,0.5988093903859578,-0.4585678486849349,,0.7542261980745112,
137,Firefighters,61,0.5394380511106102,-0.3775202965647232,,0.6584185487243884,
138,Firefighters,62,0.449779127240088,-0.3569665196684965,,0.5742180417446794,
139,Firefighters,63,0.3842633621344173,-0.2820984955372368,,0.47669475837606895,
140,Firefighters,64,0.3068349563548201,-0.2238444601120212,,0.37980788928628983,
141,Firefighters,65,0.2452428889774782,-0.14450322447075,,0.28464935706314826,
142,Firefighters,66,0.1592543849789286,-0.1048808688049712,,0.190688111261039,
143,Firefighters,67,0.0683593421525435,-0.0942995075610366,,0.11647058334954156,
144,Firefighters,68,0.0058296756059707,-0.0155580522438401,,0.016614394580992346,
145,Firefighters,69,-0.0719513753191498,-0.0567803663136701,,0.091657025966544,
146,Firefighters,70,0.0318934815117549,-0.0783605624662712,,0.08460243443879757,
147,Firefighters,71,0.1090449947775859,-0.1426729689443079,,0.17957279012541733,
148,Firefighters,72,0.1891962250564939,-0.2041149686104577,,0.278313010810626,
149,Firefighters,73,0.2680677444863995,-0.2669768063187864,,0.37833441654996747,
150,Firefighters,74,0.3534132025715014,-0.3228313328100255,,0.47866581369024314,
151,Firefighters,75,0.4322808770443215,-0.3859249357381821,,0.579486680332454,
152,Firefighters,76,0.3713214747148999,-0.30614434771082,,0.48125253165020493,
153,Firefighters,77,0.4501355893594473,-0.3692957161792549,,0.58223824573479,
154,Firefighters,78,0.5286336577829799,-0.4328569896109443,,0.6832413318850535,
155,Firefighters,79,0.6072117778959348,-0.4964494693120754,,0.7843266021217076,
186,Flowers,58,0.0353545409527422,0.0436011243638879,,0.05613378315929138,1288.0453969455755
187,Flowers,59,0.0883468630336637,0.0951102842491053,0.09993917851189596,0.12981191924409152,1302.0453969455755
