unthwck,omni,contact,hit_rate
1.18,0.64,15,0.266666666666667
0.49,0.84,15,0.333333333333333
1.21,0.43,15,0.2
0.33,0.64,15,0.2
1.1,0.65,15,0.266666666666667
0.38,0.75,15,0.266666666666667
0.86,0.67,15,0.333333333333333
1.31,0.69,15,0.2
0.26,0.3,15,0.4
0.94,0.39,15,0.266666666666667
0.87,0.48,15,0.133333333333333
1.54,0.83,16,0.1875
0.74,0.79,16,0.1875
0.67,0.56,16,0.4375
0.67,0.64,16,0.25
0.98,0.63,16,0.1875
0.35,0.62,16,0.4375
0.28,0.62,16,0.1875
0.38,0.9,16,0.5625
0.28,0.61,16,0.375
1.02,0.57,16,0.25
0.42,0.5,16,0.25
0.91,0.75,16,0.25
1.07,0.56,16,0.1875
0.28,0.6,16,0.1875
1.25,0.75,16,0.3125
1.24,0.5,16,0.375
1.22,0.55,16,0.1875
1.16,0.66,16,0.25
0.87,0.69,17,0.176470588235294
0.37,0.73,17,0.411764705882353
0.19,0.57,17,0.352941176470588
0.98,0.64,17,0.294117647058823
0.85,0.64,17,0.294117647058823
0.96,0.9,17,0.176470588235294
0.34,0.38,17,0.117647058823529
0.97,0.66,17,0.294117647058823
1.21,0.62,17,0.117647058823529
0.67,0.5,17,0.294117647058823
1.22,0.7,17,0.294117647058823
0.56,0.86,17,0.117647058823529
1.01,0.44,17,0.176470588235294
0.19,0.31,17,0.470588235294118
0.04,0.53,17,0.352941176470588
1.09,0.7,18,0.222222222222222
1.42,0.61,18,0.277777777777778
0.33,0.57,18,0.5
0.15,0.61,18,0.277777777777778
0.93,0.75,18,0.333333333333333
0.48,0.53,18,0.277777777777778
0.37,0.81,18,0.388888888888889
0.75,0.76,18,0.166666666666667
1.1,0.8,18,0.222222222222222
1.1,0.82,18,0.222222222222222
0.35,0.7,18,0.111111111111111
0.2,0.51,18,0.166666666666667
0.82,0.41,18,0.222222222222222
0.23,0.66,18,0.277777777777778
0.07,0.36,18,0.444444444444444
0.69,0.75,18,0.277777777777778
1.24,0.49,18,0.277777777777778
0.21,0.39,18,0.222222222222222
0.55,0.51,18,0.111111111111111
1.22,0.81,18,0.222222222222222
0.07,0.44,18,0.277777777777778
1.16,0.68,18,0.166666666666667
0.61,0.43,18,0.222222222222222
0.63,0.63,18,0.277777777777778
0.73,0.83,18,0.388888888888889
1.55,0.7,18,0.166666666666667
0.99,0.81,18,0.166666666666667
0.38,0.74,19,0.210526315789474
0.09,0.56,19,0.263157894736842
1.36,0.79,19,0.368421052631579
1.23,0.76,19,0.315789473684211
0.55,0.68,19,0.368421052631579
0.96,0.58,19,0.263157894736842
0.47,0.5,19,0.263157894736842
0.75,0.84,19,0.473684210526316
0.38,0.82,19,0.263157894736842
1.16,0.79,19,0.210526315789474
1.06,0.45,19,0.526315789473684
0.36,0.38,19,0.315789473684211
1.19,0.59,19,0.473684210526316
0.75,0.83,19,0.263157894736842
0.97,0.51,19,0.368421052631579
0.5,0.79,19,0.315789473684211
0.36,0.68,19,0.263157894736842
0.98,0.53,19,0.368421052631579
1.1,0.63,19,0.368421052631579
0.5,0.87,19,0.210526315789474
0.21,0.48,19,0.210526315789474
1.06,0.74,19,0
1.2,0.72,19,0.315789473684211
0.21,0.81,19,0.421052631578947
1.12,0.65,19,0.105263157894737
1.42,0.5,19,0.315789473684211
0.9,0.79,19,0.315789473684211
0.3,0.66,19,0.421052631578947
0.99,0.45,19,0.315789473684211
0.19,0.38,20,0.25
0.98,0.88,20,0.3
0.14,0.44,20,0.35
1.05,0.64,20,0.65
0.95,0.55,20,0.2
1.06,0.53,20,0.35
0.93,0.37,20,0.25
0.92,0.76,20,0.3
1.06,0.62,20,0.3
0.91,0.57,20,0.3
1.07,0.4,20,0.25
1.07,0.75,20,0.1
0.84,0.86,20,0.25
0.76,0.56,20,0.15
0.76,0.44,20,0.3
0.75,0.46,20,0.2
1.17,0.62,20,0.25
0.62,0.65,20,0.2
0.5,0.69,20,0.4
1.27,0.61,20,0.25
1.32,0.54,20,0.3
0.43,0.31,20,0.25
0.33,0.44,20,0.2
1.55,0.71,20,0.2
1.55,0.76,20,0.25
0.32,0.45,20,0.45
0.2,0.5,21,0.333333333333333
1.42,0.6,21,0.285714285714286
0.07,0.52,21,0.428571428571429
1.02,0.35,21,0.285714285714286
0.54,0.63,21,0.285714285714286
0.8,0.34,21,0.380952380952381
0.54,0.69,21,0.238095238095238
0.54,0.83,21,0.190476190476191
0.19,0.3,21,0.380952380952381
1.06,0.76,21,0.238095238095238
1.34,0.57,21,0.142857142857143
1.02,0.82,21,0.476190476190476
1.17,0.63,21,0.142857142857143
0.15,0.64,21,0.380952380952381
1.27,0.66,21,0.285714285714286
0.45,0.7,21,0.380952380952381
0.94,0.65,21,0.238095238095238
0.63,0.69,21,0.190476190476191
0.76,0.55,21,0.238095238095238
1.24,0.62,21,0.285714285714286
0.14,0.78,21,0.380952380952381
0.08,0.39,21,0.476190476190476
1.54,0.76,21,0.190476190476191
0.82,0.37,21,0.285714285714286
0.7,0.67,21,0.523809523809524
0.6,0.53,21,0.333333333333333
0.28,0.4,21,0.238095238095238
0.79,0.66,21,0.428571428571429
0.14,0.71,22,0.318181818181818
1.15,0.71,22,0.181818181818182
1.21,0.76,22,0.318181818181818
0.94,0.42,22,0.181818181818182
1.04,0.8,22,0.181818181818182
1.15,0.59,22,0.363636363636364
0.56,0.72,22,0.409090909090909
1.13,0.77,22,0.181818181818182
1.13,0.56,22,0.318181818181818
0.54,0.38,22,0.5
0.65,0.41,22,0.318181818181818
0.08,0.44,22,0.090909090909091
0.75,0.54,22,0.227272727272727
0.51,0.91,22,0.272727272727273
1.16,0.61,22,0.363636363636364
1.6,0.8,22,0.181818181818182
0.51,0.58,22,0.272727272727273
1,0.59,22,0.318181818181818
0.21,0.57,22,0.272727272727273
1.01,0.87,22,0.318181818181818
1.02,0.74,22,0.227272727272727
0.17,0.62,22,0.227272727272727
0.17,0.59,22,0.5
1.16,0.67,22,0.409090909090909
0.28,0.76,22,0.454545454545455
0.24,0.67,22,0.363636363636364
0.47,0.52,22,0.409090909090909
0.87,0.51,22,0.227272727272727
1.16,0.48,22,0.181818181818182
0.95,0.68,23,0.304347826086957
0.83,0.39,23,0.304347826086957
1.11,0.55,23,0.260869565217391
1.25,0.76,23,0.086956521739131
0.98,0.47,23,0.217391304347826
1.48,0.62,23,0.304347826086957
1,0.45,23,0.347826086956522
0.93,0.7,23,0.304347826086957
1.11,0.45,23,0.173913043478261
1.06,0.57,23,0.217391304347826
1.01,0.9,23,0.304347826086957
0.8,0.44,23,0.217391304347826
1.19,0.56,23,0.347826086956522
1.01,0.36,23,0.260869565217391
0.42,0.51,23,0.260869565217391
0.56,0.79,23,0.260869565217391
1.04,0.6,23,0.260869565217391
1.08,0.5,23,0.347826086956522
0.99,0.3,23,0.217391304347826
1.31,0.7,23,0.173913043478261
0.51,0.79,23,0.217391304347826
0.28,0.46,23,0.347826086956522
1.22,0.62,23,0.130434782608696
1,0.77,23,0.260869565217391
0.86,0.81,23,0.217391304347826
0.51,0.62,23,0.260869565217391
0.25,0.67,23,0.391304347826087
0.78,0.38,23,0.173913043478261
1.06,0.34,23,0.391304347826087
0.82,0.56,23,0.391304347826087
0.66,0.64,23,0.217391304347826
0.8,0.43,24,0.25
0.64,0.49,24,0.166666666666667
0.19,0.55,24,0.375
0.19,0.53,24,0.333333333333333
1.18,0.59,24,0.166666666666667
0.54,0.33,24,0.333333333333333
0.53,0.93,24,0.375
0.52,0.51,24,0.25
0.82,0.4,24,0.375
0.51,0.51,24,0.166666666666667
0.82,0.75,24,0.25
1.97,0.63,24,0.208333333333333
0.5,0.63,24,0.375
1.1,0.34,24,0.291666666666667
0.48,0.65,24,0.25
0.47,0.75,24,0.291666666666667
1.35,0.49,24,0.208333333333333
0.46,0.42,24,0.416666666666667
0.88,0.71,24,0.291666666666667
0.25,0.59,24,0.125
0.16,0.65,24,0.25
0.88,0.76,24,0.291666666666667
0.13,0.26,24,0.458333333333333
0.96,0.76,24,0.25
0.37,0.49,24,0.166666666666667
0.98,0.48,24,0.416666666666667
1.03,0.48,24,0.208333333333333
0.33,0.65,24,0.291666666666667
0.73,0.57,24,0.125
0.74,0.4,24,0.083333333333333
0.45,0.74,25,0.32
0.88,0.47,25,0.16
1.03,0.74,25,0.2
0.17,0.4,25,0.4
0.64,0.59,25,0.28
1.18,0.53,25,0.16
0.47,0.62,25,0.28
0.74,0.72,25,0.44
1.03,0.42,25,0.28
0.47,0.7,25,0.36
1.28,0.78,25,0.08
0.85,0.8,25,0.36
1.28,0.75,25,0.32
0.99,0.74,25,0.2
1.12,0.61,25,0.12
0.51,0.72,25,0.16
1.13,0.41,25,0.16
0.09,0.57,25,0.24
1.05,0.45,25,0.32
1.54,0.77,25,0.28
1.16,0.56,25,0.24
0.37,0.51,25,0.32
0.72,0.72,25,0.32
0.93,0.4,25,0.28
0.36,0.5,25,0.12
0.86,0.8,26,0.384615384615385
0.13,0.53,26,0.384615384615385
0.29,0.68,26,0.346153846153846
0.35,0.51,26,0.269230769230769
0.5,0.46,26,0.307692307692308
0.51,0.29,26,0.307692307692308
0.52,0.61,26,0.230769230769231
0.53,0.38,26,0.423076923076923
0.55,0.72,26,0.269230769230769
0.63,0.59,26,0.346153846153846
0.66,0.82,26,0.5
0.67,0.79,26,0.384615384615385
0.68,0.79,26,0.192307692307692
0.71,0.8,26,0.269230769230769
0.72,0.5,26,0.153846153846154
0.75,0.38,26,0.230769230769231
0.77,0.42,26,0.230769230769231
0.78,0.28,26,0.384615384615385
0.81,0.42,26,0.384615384615385
0.81,0.79,26,0.346153846153846
0.82,0.79,26,0.192307692307692
0.86,0.59,26,0.346153846153846
1.03,0.82,26,0.230769230769231
1.04,0.67,26,0.230769230769231
1.05,0.44,26,0.115384615384615
1.08,0.46,26,0.423076923076923
1.09,0.53,26,0.192307692307692
1.09,0.55,26,0.346153846153846
1.14,0.49,26,0.269230769230769
1.16,0.46,26,0.269230769230769
1.21,0.48,26,0.307692307692308
1.21,0.7,26,0.230769230769231
1.28,0.48,26,0.346153846153846
1.3,0.74,26,0.346153846153846
1.34,0.58,26,0.538461538461538
0.67,0.53,27,0.333333333333333
1.04,0.78,27,0.37037037037037
0.51,0.82,27,0.333333333333333
0.51,0.8,27,0.37037037037037
0.56,0.42,27,0.185185185185185
1,0.46,27,0.296296296296296
0.99,0.77,27,0.37037037037037
1.31,0.8,27,0.296296296296296
0.77,0.75,27,0.333333333333333
0.31,0.7,27,0.296296296296296
0.91,0.55,27,0.444444444444444
0.6,0.3,27,0.259259259259259
1.54,0.74,27,0.148148148148148
0.87,0.47,27,0.259259259259259
1.52,0.71,27,0.444444444444444
0.48,0.48,27,0.259259259259259
0.57,0.63,27,0.296296296296296
0.91,0.46,27,0.333333333333333
0.13,0.62,27,0.37037037037037
1.2,0.9,27,0.222222222222222
0,0.5,27,0.407407407407407
0.24,0.68,27,0.333333333333333
0.3,0.43,27,0.37037037037037
0.35,0.85,27,0.111111111111111
0.17,0.5,27,0.333333333333333
0.99,0.7,27,0.222222222222222
0.53,0.46,27,0.518518518518518
0.67,0.77,27,0.222222222222222
0.91,0.81,27,0.148148148148148
1.25,0.77,27,0.222222222222222
0.77,0.84,27,0.444444444444444
0.7,0.76,28,0.428571428571429
0.99,0.54,28,0.392857142857143
0.13,0.69,28,0.357142857142857
0.78,0.75,28,0.392857142857143
0.13,0.27,28,0.464285714285714
0.59,0.43,28,0.285714285714286
0.9,0.8,28,0.142857142857143
0.31,0.4,28,0.321428571428571
0.03,0.38,28,0.428571428571429
0.59,0.58,28,0.25
0.18,0.74,28,0.535714285714286
0.31,0.64,28,0.321428571428571
1.07,0.52,28,0.428571428571429
1.11,0.42,28,0.214285714285714
0.25,0.68,28,0.392857142857143
1.12,0.52,28,0.25
0.62,0.81,28,0.285714285714286
1.12,0.85,28,0.107142857142857
0.13,0.4,28,0.142857142857143
1.24,0.67,28,0.214285714285714
0.97,0.6,28,0.428571428571429
0.16,0.56,28,0.321428571428571
0.23,0.41,28,0.321428571428571
0.92,0.53,28,0.214285714285714
0.92,0.56,28,0.357142857142857
1.02,0.5,28,0.321428571428571
0.07,0.43,28,0.464285714285714
0.71,0.46,28,0.321428571428571
0.65,0.57,28,0.321428571428571
0.28,0.39,28,0.214285714285714
0.35,0.53,28,0.321428571428571
1.2,0.87,28,0.285714285714286
1,0.57,28,0.357142857142857
0.69,0.52,28,0.428571428571429
0.81,0.37,29,0.275862068965517
0.64,0.63,29,0.275862068965517
1.1,0.56,29,0.310344827586207
0.35,0.49,29,0.275862068965517
0.68,0.74,29,0.310344827586207
0.88,0.64,29,0.310344827586207
1.23,0.73,29,0.241379310344828
0.68,0.63,29,0.379310344827586
0.53,0.75,29,0.379310344827586
0.79,0.6,29,0.241379310344828
0.88,0.81,29,0.275862068965517
0.14,0.36,29,0.344827586206896
0.2,0.54,29,0.310344827586207
0.42,0.69,29,0.206896551724138
0.73,0.81,29,0.275862068965517
1.13,0.71,29,0.275862068965517
0.89,0.83,29,0.310344827586207
1.35,0.48,29,0.379310344827586
1.1,0.78,29,0.344827586206896
0.21,0.77,29,0.344827586206896
0.5,0.58,29,0.379310344827586
1.24,0.59,29,0.206896551724138
1.02,0.78,29,0.310344827586207
0.7,0.51,29,0.310344827586207
0.89,0.82,30,0.166666666666667
0.62,0.45,30,0.266666666666667
0.68,0.4,30,0.4
0.96,0.67,30,0.2
0.2,0.49,30,0.5
0.63,0.51,30,0.466666666666667
1.43,0.41,30,0.4
0.78,0.76,30,0.333333333333333
0.88,0.36,30,0.466666666666667
1,0.6,30,0.233333333333333
0.89,0.46,30,0.3
0.26,0.53,30,0.466666666666667
0.84,0.64,30,0.233333333333333
0.93,0.68,30,0.433333333333333
0.37,0.69,30,0.366666666666667
0.67,0.63,30,0.333333333333333
1.19,0.76,30,0.233333333333333
0.08,0.62,30,0.5
0.21,0.8,30,0.366666666666667
0.95,0.43,30,0.3
0.28,0.42,30,0.3
0.77,0.78,30,0.3
0.03,0.5,30,0.433333333333333
0.85,0.75,30,0.366666666666667
1.08,0.73,30,0.3
0.32,0.53,30,0.5
0.95,0.76,30,0.333333333333333
1.08,0.67,30,0.333333333333333
0.43,0.27,31,0.32258064516129
0.81,0.83,31,0.258064516129032
0.9,0.61,31,0.354838709677419
0.59,0.62,31,0.419354838709677
1.21,0.67,31,0.225806451612903
0.78,0.67,31,0.258064516129032
0.22,0.51,31,0.451612903225806
0.71,0.38,31,0.483870967741936
1.06,0.28,31,0.290322580645161
0.37,0.78,31,0.387096774193548
0.91,0.35,31,0.354838709677419
0.46,0.4,31,0.580645161290323
0.18,0.66,31,0.387096774193548
1,0.75,31,0.32258064516129
0.68,0.39,31,0.258064516129032
0.43,0.51,31,0.32258064516129
1.43,0.7,31,0.225806451612903
0.43,0.25,32,0.46875
0.8,0.73,32,0.34375
0.27,0.57,32,0.34375
0.15,0.68,32,0.5
0.57,0.81,32,0.28125
1.43,0.81,32,0.21875
0.25,0.53,32,0.21875
0.96,0.85,32,0.28125
0.46,0.63,32,0.5625
0.89,0.45,32,0.0625
0.54,0.78,32,0.34375
1.15,0.74,32,0.34375
0.84,0.41,32,0.375
0.43,0.75,32,0.46875
1.03,0.47,32,0.3125
0.19,0.67,32,0.4375
0.39,0.69,32,0.25
0.25,0.69,32,0.25
1.07,0.51,32,0.3125
0.85,0.76,33,0.303030303030303
1.03,0.64,33,0.424242424242424
0.96,0.38,33,0.242424242424242
1.16,0.87,33,0.303030303030303
0.91,0.76,33,0.363636363636364
0.99,0.6,33,0.333333333333333
1.04,0.87,33,0.181818181818182
0.49,0.57,33,0.181818181818182
0.98,0.56,33,0.121212121212121
0.31,0.5,33,0.454545454545455
0.94,0.82,33,0.484848484848485
1.01,0.77,33,0.393939393939394
