"num_events","num_tunnels","tragicness"
198341.35714285714285628874,239,0.0
44883.58809523809523794287,39,0.1
18325.53095238095238085851,19,0.2
20958.54999999999999988363,13,0.3
6943.85714285714285709530,14,0.4
6669.26666666666666666622,8,0.5
6952.98333333333333332606,5,0.6
14557.44999999999999993327,16,0.7
10019.45000000000000000000,2,0.8
6410.39999999999999997532,5,0.9
3404.56666666666666665622,5,1.0
