,Team,Day,X,Y,corrected_speed,speed
822,Queens,70,-0.938388030306574,0.9072006566363258,0.09172545915463465,0.10242976937626143
823,Queens,71,-1.0,0.8191788412895504,0.09588636154246856,0.10744242544937942
824,Queens,72,-0.9375423710034966,0.7383517641369631,0.09116707277281598,0.10214681503059782
825,Queens,73,-1.0,0.6604910166431919,0.08865891397684367,0.09981608798261767
826,Queens,74,-1.0,0.7213763163718241,0.07542093405621336,0.060885299728632214
827,Queens,75,-1.0,0.7819928209113299,0.07515213886708699,0.060616504539505844
828,Queens,76,-1.0,0.832027162303768,0.06458997572001927,0.05003434139243812
829,Queens,77,-1.0,0.8921468976987272,0.07469536972254033,0.060119735394959184
830,Queens,78,-1.0,0.9519530024498032,0.0744017390786571,0.05980610475107595
831,Queens,79,-1.0,1.0,0.06266263187777796,0.04804699755019681
862,Shoe Thieves,58,0.7311009987077846,-0.7066657666077031,,
863,Shoe Thieves,59,0.6529606622495534,-0.644256645530483,,0.10000405279505768
864,Shoe Thieves,60,0.5886146917607803,-0.5677175783246285,,0.09999316340072638
865,Shoe Thieves,61,0.5173761308465363,-0.4975112244794346,,0.10001932154023556
866,Shoe Thieves,62,0.4461929304573897,-0.4272353095244088,,0.10002875706719251
867,Shoe Thieves,63,0.4966484246798285,-0.3417821145806974,,0.09923711716549659
868,Shoe Thieves,64,0.4195859116706307,-0.2773432688902533,,0.10045394838038796
869,Shoe Thieves,65,0.3894541551696025,-0.183928454910814,,0.09815421651997687
870,Shoe Thieves,66,0.3147380278712763,-0.1170512815535417,,0.10027490211772006
871,Shoe Thieves,67,0.2392706374721856,-0.0509759695635763,,0.10030590146257613
872,Shoe Thieves,68,0.1396243227622357,-0.0268751398442803,,0.1025194519514852
873,Shoe Thieves,69,0.0641984795768322,0.039157159288067,,0.10024630840551123
874,Shoe Thieves,70,0.1029602991761707,-0.0550531273104242,,0.1018727478750893
875,Shoe Thieves,71,0.1650177816536308,-0.1340364677338983,,0.10044649917190078
876,Shoe Thieves,72,0.2364939414987792,-0.2035583151995999,,0.09971022365461571
877,Shoe Thieves,73,0.3041804583335755,-0.2771690530520047,,0.10000002644200959
878,Shoe Thieves,74,0.3780743864158903,-0.343908384371962,,0.0995713359982146
879,Shoe Thieves,75,0.445505421522197,-0.4176808828786339,,0.09994661590781792
880,Shoe Thieves,76,0.5070132661614468,-0.4968721784058159,,0.10027201124660638
881,Shoe Thieves,77,0.5836026989543335,-0.5598349167358339,,0.0991476052839927
882,Shoe Thieves,78,0.5676925330119297,-0.46402494855414,,0.09712200257043722
883,Shoe Thieves,79,0.6377681582971797,-0.5348387995112531,,0.09962527162570249
914,Spies,58,0.910680039672794,-0.944514379950362,,
915,Spies,59,0.8484109550063019,-0.8699318381657687,,0.0971596338211161
916,Spies,60,0.7592138673567015,-0.8147664853459062,,0.10487772211919179
