,Unnamed: 0,ID,Name,Day,X,Y,edensity,at_wall,hits_wall,corrected_speed,speed
2,32,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,60,-1.0,-1.0,332.74980342235745,True,False,,-0.006675234365244545
9,39,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,67,-1.0,-1.0,337.8667221847338,True,False,,-0.007091334441279823
20,50,8d87c468-699a-47a8-b40d-cfb73a5660ad,Crabs,78,-1.0,-1.0,391.5283899949029,True,False,,-0.008271979853065492
30,90,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,61,-1.0,-1.0,1351.3154743635605,True,False,,-0.027464093433683237
43,103,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,74,-1.0,-1.0,1468.14348606441,True,False,,-0.029702869721288286
44,104,b63be8c2-576a-4d6e-8daf-814f8bcea96f,Dale,75,-0.9502924224819688,-0.9502924224819688,1487.14348606441,False,False,0.10000000000000014,-0.013425781417685079
54,144,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,58,0.7172177331266186,-0.6198881745604611,-680.5733042591482,False,False,0.106180833050839,-0.0006783240748676062
55,145,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,59,0.652992474867141,-0.5441259708565005,-662.5733042591482,False,False,0.10591104085245244,0.0012719058447088483
56,146,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,60,0.5988093903859578,-0.4585678486849349,-665.089145847945,False,False,0.10511029225475269,0.0004672167028970109
57,147,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,61,0.5394380511106102,-0.3775202965647232,-664.9532143058896,False,False,0.10296899323758488,-0.008015325329053052
58,148,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,62,0.449779127240088,-0.3569665196684965,-649.6091044839129,False,False,0.10412232839285647,-0.0005136365389693115
59,149,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,63,0.3842633621344173,-0.2820984955372368,-653.2847798279497,False,False,0.10325231121574158,-0.0031047438473263828
60,150,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,64,0.3068349563548201,-0.2238444601120212,-654.1308703834175,False,False,0.10287011740313579,0.00044209494479266476
61,151,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,65,0.2452428889774782,-0.14450322447075,-656.1616048630974,False,False,0.1017522301738862,-0.005321840488874879
62,152,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,66,0.1592543849789286,-0.1048808688049712,-651.1616048630974,False,False,0.10097820037271585,-0.008491126024931211
63,153,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,67,0.0683593421525435,-0.0942995075610366,-634.1616048630974,False,False,0.1009205096164742,0.0005493708776720119
64,154,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,68,0.0058296756059707,-0.0155580522438401,-634.4616048630975,False,False,0.10003053497043914,-0.011970623878798894
65,155,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,69,-0.0719513753191498,-0.0567803663136701,-622.4616048630975,False,False,0.10007828199139492,0.006063467585289847
66,156,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,70,0.0318934815117549,-0.0783605624662712,-622.4616048630975,False,False,0.09940462115905813,0.00044123469075792177
67,157,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,71,0.1090449947775859,-0.1426729689443079,-599.4616048630975,False,False,0.09871784836345565,0.0009917770820856847
68,158,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,72,0.1891962250564939,-0.2041149686104577,-585.4616048630975,False,False,0.09804139686515101,0.0008579556467918359
69,159,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,73,0.2680677444863995,-0.2669768063187864,-561.4616048630975,False,False,0.09743543121222471,0.0019979183381524657
70,160,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,74,0.3534132025715014,-0.3228313328100255,-560.7616048630975,False,False,0.09680633065750635,0.0009995683515855863
71,161,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,75,0.4322808770443215,-0.3859249357381821,-564.6116751737734,False,False,0.10376168143762296,0.0004041381535241362
72,162,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,76,0.3713214747148999,-0.30614434771082,-565.932905915204,False,False,0.09682570481148274,0.0009938612324525975
73,163,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,77,0.4501355893594473,-0.3692957161792549,-566.4484852191042,False,False,0.09638481215152782,0.0010048623903007453
74,164,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,78,0.5286336577829799,-0.4328569896109443,-570.9523327891941,False,False,0.09589743785182646,0.0010867174015693482
75,165,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,79,0.6072117778959348,-0.4964494693120754,-554.9233015096313,False,False,0.09551971096890542,0.0004978581718650538
76,166,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,80,0.6814038411960431,-0.5642385336248761,-555.6103418771379,False,False,0.10093746420435644,-0.009652443478940717
77,167,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,Firefighters,81,0.5944660444575828,-0.5888251248401738,-540.6103418771379,False,False,0.09511878260057083,0.00023342478137285128
