"num_events","num_tunnels","patheticism"
72243.23571428571428540619,96,0.0
20337.67976190476190471578,20,0.1
31048.18571428571428556144,26,0.2
31952.56904761904761885759,34,0.3
28815.72619047619047610965,35,0.4
25143.26309523809523804351,23,0.5
51649.29523809523809506524,63,0.6
36870.19047619047619024517,34,0.7
23594.77142857142857136022,21,0.8
13892.79999999999999993809,8,0.9
1919.28333333333333332326,5,1.0
41.00000000000000000000,0,NULL
