,event_type,roll,passed,batter_name,batter_buoyancy,batter_divinity,batter_martyrdom,batter_moxie,batter_musclitude,batter_patheticism,batter_thwackability,batter_tragicness,pitcher_name,pitcher_ruthlessness,pitcher_overpowerment,pitcher_unthwackability,pitcher_shakespearianism,pitcher_suppression,pitcher_coldness,pitcher_chasiness,defense_avg_anticapitalism,defense_avg_chasiness,defense_avg_omniscience,defense_avg_tenaciousness,defense_avg_watchfulness,ballpark_grandiosity,ballpark_fortification,ballpark_obtuseness,ballpark_ominousness,ballpark_inconvenience,ballpark_viscosity,ballpark_forwardness,ballpark_mysticism,ballpark_elongation,batting_team_hype,pitching_team_hype,batter_vibes,pitcher_vibes
0,StrikeLooking,0.9023422728996531,True,Elwin McGhee,0.49199577640577274,0.9593393385344963,0.8278429977106819,0.5075530786457918,0.734664519583146,0.715624577732681,0.5090300139067767,0.7522816957753236,Cory Twelve,1.1410352653068785,0.7563482894486112,1.20538932497169,0.6508697773864152,0.3063547835418726,1.1530687648213271,0.914233022134507,0.9139519284089076,0.8672532543991626,0.7807819113794932,0.7724879543804846,0.8708897266064763,0.3589449382287126,0.5342454937183025,0.788150918175329,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.0,0.0,0.005205831611181329,-0.036822129563555434
1,StrikeLooking,0.4219147511405874,True,Dunn Keyes,1.1004620400436578,0.5380887103960642,0.44544129298108315,0.5760604194374879,0.6629837131891106,0.6423489356208308,0.4566428050911316,0.10605,Grollis Zephyr,0.7403085464916612,0.7258438153861636,0.701883258663973,0.8557099962002905,0.2640535744685947,0.5486849381450271,0.45624091722676324,0.7860633253179856,0.6295049402707398,0.5835637774802621,0.6024715328756806,0.649922492425556,0.3589449382287126,0.5342454937183025,0.788150918175329,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.0,0.0,-0.18995651933440239,-0.08033297660785854
2,StrikeLooking,0.9064630761880188,True,Dunn Keyes,1.1004620400436578,0.5380887103960642,0.44544129298108315,0.5760604194374879,0.6629837131891106,0.6423489356208308,0.4566428050911316,0.10605,Grollis Zephyr,0.7403085464916612,0.7258438153861636,0.701883258663973,0.8557099962002905,0.2640535744685947,0.5486849381450271,0.45624091722676324,0.7860633253179856,0.6295049402707398,0.5835637774802621,0.6024715328756806,0.649922492425556,0.3589449382287126,0.5342454937183025,0.788150918175329,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.0,0.0,-0.18995651933440239,-0.08033297660785854
3,StrikeLooking,0.2150095342578584,True,Lenny Spruce,1.0727331936217814,1.2278102984642627,1.3661163177641493,0.9216462670118272,0.5372969930497528,0.2459647458486546,1.0356523756263176,0.0010500000000000002,Grollis Zephyr,0.7403085464916612,0.7258438153861636,0.701883258663973,0.8557099962002905,0.2640535744685947,0.5486849381450271,0.45624091722676324,0.7860633253179856,0.6295049402707398,0.5835637774802621,0.6024715328756806,0.649922492425556,0.3589449382287126,0.5342454937183025,0.788150918175329,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.0,0.0,-0.40041193716198803,-0.08033297660785854
4,Ball,0.07906178311389112,False,Margarito Nava,0.9015585263623869,1.3815197610092391,1.2573749479803407,1.5293521216313575,1.3862265934742721,0.4665020143494395,0.9109380537387213,0.0010500000000000002,Grollis Zephyr,0.7403085464916612,0.7258438153861636,0.701883258663973,0.8557099962002905,0.2640535744685947,0.5486849381450271,0.45624091722676324,0.7860633253179856,0.6295049402707398,0.5835637774802621,0.6024715328756806,0.649922492425556,0.3589449382287126,0.5342454937183025,0.788150918175329,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.0,0.0,1.005274544964244,-0.08033297660785854
5,StrikeLooking,0.6327379533650632,True,Rylan O'Lantern,0.27849946273098425,0.17423534861148737,0.27676176881074177,0.5409754178897275,0.0019036115181683133,0.5821264655684952,0.675476650930537,0.8597659393242822,Cory Twelve,1.1410352653068785,0.7563482894486112,1.20538932497169,0.6508697773864152,0.3063547835418726,1.1530687648213271,0.914233022134507,0.9139519284089076,0.8672532543991626,0.7807819113794932,0.7724879543804846,0.8708897266064763,0.3589449382287126,0.5342454937183025,0.788150918175329,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.0,0.0,0.2988005263248918,-0.036822129563555434
6,StrikeLooking,0.8704359841036236,True,Silvaire Semiquaver,0.7695498528377079,0.8739035606136277,1.3233508847619582,0.5139876162134881,0.6328279393157061,0.8988727271254537,1.0258278630607889,0.0012,Cory Twelve,1.1410352653068785,0.7563482894486112,1.20538932497169,0.6508697773864152,0.3063547835418726,1.1530687648213271,0.914233022134507,0.9139519284089076,0.8672532543991626,0.7807819113794932,0.7724879543804846,0.8708897266064763,0.3589449382287126,0.5342454937183025,0.788150918175329,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.0,0.0,0.9483981267490253,-0.036822129563555434
7,Ball,0.9517831082925257,False,Scores Baserunner,0.5065727976208985,1.097225802605196,0.5765559778251015,0.6335656344806517,0.7555867814612975,0.0010500000000000002,1.3187287616708383,0.0010500000000000002,Grollis Zephyr,0.7403085464916612,0.7258438153861636,0.701883258663973,0.8557099962002905,0.2640535744685947,0.5486849381450271,0.45624091722676324,0.7860633253179856,0.6295049402707398,0.5835637774802621,0.6024715328756806,0.649922492425556,0.3589449382287126,0.5342454937183025,0.788150918175329,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.0,0.0,0.060518948252170746,-0.08033297660785854
8,StrikeLooking,0.7092793004900739,True,Scores Baserunner,0.5065727976208985,1.097225802605196,0.5765559778251015,0.6335656344806517,0.7555867814612975,0.0010500000000000002,1.3187287616708383,0.0010500000000000002,Grollis Zephyr,0.7403085464916612,0.7258438153861636,0.701883258663973,0.8557099962002905,0.2640535744685947,0.5486849381450271,0.45624091722676324,0.7860633253179856,0.6295049402707398,0.5835637774802621,0.6024715328756806,0.649922492425556,0.3589449382287126,0.5342454937183025,0.788150918175329,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.0,0.0,0.060518948252170746,-0.08033297660785854
9,Ball,0.32328150718382953,False,Scores Baserunner,0.5065727976208985,1.097225802605196,0.5765559778251015,0.6335656344806517,0.7555867814612975,0.0010500000000000002,1.3187287616708383,0.0010500000000000002,Grollis Zephyr,0.7403085464916612,0.7258438153861636,0.701883258663973,0.8557099962002905,0.2640535744685947,0.5486849381450271,0.45624091722676324,0.7860633253179856,0.6295049402707398,0.5835637774802621,0.6024715328756806,0.649922492425556,0.3589449382287126,0.5342454937183025,0.788150918175329,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.0,0.0,0.060518948252170746,-0.08033297660785854
